window_start,window_end,window_start_ms,window_end_ms,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-10-29 21:35:27.323000+00:00,2025-10-29 23:59:05.893000+00:00,1761773727323,1761782345893,9.380036698982541e-08,-2.7077039774237844e-06,8.95960088093543e-09,8910546.280499997,0.891166,0.18038904499201572,500
2025-10-29 22:41:23.960000+00:00,2025-10-30 01:12:58.362000+00:00,1761777683960,1761786778362,2.439662743447722e-08,-1.613101000510434e-06,4.819027239263712e-09,9208544.362639995,0.8924740000000002,0.04894594144480641,500
2025-10-29 23:59:11.171000+00:00,2025-10-30 01:50:32.609000+00:00,1761782351171,1761789032609,2.605253727589476e-08,-3.9377770595043926e-06,5.066599392742596e-09,9781085.702379996,0.8917759999999999,0.050416284210119316,500
2025-10-30 01:13:00.199000+00:00,2025-10-30 02:53:57.639000+00:00,1761786780199,1761792837639,1.5124386435041513e-07,5.364355327806678e-06,1.182458293685895e-08,10096062.700719995,0.8950670000000002,0.24727956615832822,500
2025-10-30 01:50:38.307000+00:00,2025-10-30 03:37:53.166000+00:00,1761789038307,1761795473166,7.48513102105706e-08,-9.805872500860629e-07,4.582874036061479e-09,9708422.604099996,0.902939,0.34881649857260455,500
2025-10-30 02:54:23.219000+00:00,2025-10-30 04:58:02.083000+00:00,1761792863219,1761800282083,4.547955887549897e-08,-9.137678308774723e-06,2.8800503455892843e-09,9292379.113499997,0.907576,0.33365729916919945,500
2025-10-30 03:37:58.832000+00:00,2025-10-30 05:59:13.254000+00:00,1761795478832,1761803953254,1.7315339186799278e-08,3.490456753341827e-06,1.451329912640019e-09,9059632.65632,0.9089529999999998,0.22228925500436655,500
2025-10-30 05:59:15.104000+00:00,2025-10-30 06:55:17.080000+00:00,1761803955104,1761807317080,4.2782615539217025e-08,-3.1435373863229384e-06,3.541999111959648e-09,8750899.29144,0.9095729999999997,0.22658090829388336,500
2025-10-30 06:28:45.421000+00:00,2025-10-30 07:26:52.005000+00:00,1761805725421,1761809212005,5.615140137758866e-08,5.588975706498178e-06,2.9220764504479886e-09,8785455.503360001,0.9125109999999999,0.4257809936056244,500
2025-10-30 06:55:22.534000+00:00,2025-10-30 07:54:33.902000+00:00,1761807322534,1761810873902,6.039144137412802e-08,8.339706368796223e-06,2.8189324111499383e-09,8931630.368980002,0.919439,0.47960588187619446,500
2025-10-30 07:26:54.694000+00:00,2025-10-30 08:13:29.342000+00:00,1761809214694,1761812009342,1.1355284655178639e-07,-1.197327413017049e-06,6.000256759417404e-09,9065796.99066,0.9236400000000002,0.4183214240144251,500
2025-10-30 07:54:34.047000+00:00,2025-10-30 08:27:49.369000+00:00,1761810874047,1761812869369,9.971740124923912e-08,-2.169511612019395e-06,1.049926741643365e-08,9092167.72646,0.9242509999999999,0.1533543942072175,500
2025-10-30 08:13:30.271000+00:00,2025-10-30 08:46:59.359000+00:00,1761812010271,1761814019359,9.900828730066617e-08,-1.1465516099251426e-06,1.4761359352371324e-08,9129195.70218,0.924303,0.08285155805733524,500
2025-10-30 08:27:51.215000+00:00,2025-10-30 09:16:35.771000+00:00,1761812871215,1761815795771,1.1048440101661611e-07,1.8364347977164747e-06,1.1625197408111173e-08,9200383.2792,0.924085,0.1535270783342393,500
2025-10-30 08:46:59.788000+00:00,2025-10-30 10:03:54.029000+00:00,1761814019788,1761818634029,1.3020610032479294e-07,-1.4290015345759763e-06,1.0010888323288857e-08,9257835.203979999,0.9247169999999999,0.25356098014378503,500
2025-10-30 09:16:44.674000+00:00,2025-10-30 10:41:25.407000+00:00,1761815804674,1761820885407,2.2153090889493905e-07,-6.26995214000792e-06,2.902977378199717e-08,9338818.590880001,0.92648,0.10469437008790032,500
2025-10-30 10:04:09.775000+00:00,2025-10-30 11:16:26.015000+00:00,1761818649775,1761822986015,2.4095287212619514e-07,2.9175342853489943e-06,2.843470494404081e-08,9999203.112880003,0.9283030000000001,0.1260198577238488,500
2025-10-30 10:41:27.559000+00:00,2025-10-30 11:49:12.393000+00:00,1761820887559,1761824952393,1.1007686220513091e-07,-6.41840500877288e-06,1.6323879077102278e-08,10657442.914660003,0.9295980000000001,0.08366967131871321,500
2025-10-30 11:16:40.816000+00:00,2025-10-30 12:22:52.101000+00:00,1761823000816,1761826972101,9.375443951464164e-08,-1.2445012906055773e-05,1.3577487180144303e-08,10646525.204460002,0.930421,0.08737880278058767,500
2025-10-30 11:49:27.175000+00:00,2025-10-30 12:52:16.350000+00:00,1761824967175,1761828736350,1.3618048375110917e-08,4.2438283996649e-06,3.18241511859458e-09,10606311.25788,0.931627,0.0354653758484898,500
2025-10-30 12:22:55.209000+00:00,2025-10-30 13:21:32.502000+00:00,1761826975209,1761830492502,1.434836561846617e-08,1.2691280180926568e-05,2.7066804096154602e-09,10621042.602159997,0.934098,0.05341476164874244,500
2025-10-30 12:52:30.654000+00:00,2025-10-30 13:47:16.355000+00:00,1761828750654,1761832036355,3.127093391549347e-08,9.104808287530042e-06,4.1505802005312845e-09,10018401.16168,0.936968,0.10231910297354042,500
2025-10-30 13:21:42.790000+00:00,2025-10-30 14:23:40.411000+00:00,1761830502790,1761834220411,2.1650831044725512e-08,1.1044621315063422e-05,2.499405565433413e-09,9421841.71996,0.940415,0.13094622543323858,500
2025-10-30 13:47:24.557000+00:00,2025-10-30 15:01:23.138000+00:00,1761832044557,1761836483138,2.1103316531511803e-08,-6.19430216301224e-06,2.668638317422289e-09,9379363.57168,0.941205,0.11156279483080538,500
2025-10-30 14:23:40.583000+00:00,2025-10-30 15:45:52.503000+00:00,1761834220583,1761839152503,8.586578224892271e-08,-1.0875202313398077e-05,4.6624308632651934e-09,9402039.754599998,0.941682,0.40513764260807306,500
2025-10-30 15:01:38.910000+00:00,2025-10-30 16:35:22.537000+00:00,1761836498910,1761842122537,9.30051193962585e-08,-1.1849410724860065e-05,4.554983658649832e-09,9891963.780539999,0.9430619999999998,0.4556828809202722,500
2025-10-30 15:45:53.124000+00:00,2025-10-30 17:35:24.590000+00:00,1761839153124,1761845724590,1.1435430978526154e-07,-7.155714970585357e-06,7.342800922009962e-09,10264763.23814,0.942386,0.3275168409518714,500
2025-10-30 16:35:39.779000+00:00,2025-10-30 18:21:38.925000+00:00,1761842139779,1761848498925,8.662481076110408e-08,2.1496057348199677e-06,1.0478810489884711e-08,10232416.696859999,0.941489,0.12066605667770049,500
2025-10-30 17:35:27.034000+00:00,2025-10-30 19:33:15.484000+00:00,1761845727034,1761852795484,7.905472279282235e-08,-5.181210166669095e-06,7.93108696370372e-09,9841280.016139997,0.9420230000000002,0.16632503824891548,500
2025-10-30 18:21:43.358000+00:00,2025-10-30 20:45:37.969000+00:00,1761848503358,1761857137969,1.5436436248794866e-07,-3.8095092083732045e-06,1.2096404426626292e-08,9452579.64818,0.9435050000000001,0.24642237660986796,500
