time_window,outlier_method,r_squared,beta,p_value,n_windows,phase
15,Pctl (5%-95%),0.00035999561889720535,4.2400470722744826e-07,0.6422155041862598,602,Phase 1: Early
20,Raw,0.0009164921319448315,3.054801693661496e-07,0.4985611034528834,502,Phase 1: Early
20,IQR (1.5x),0.0037679577410337246,1.4111079533914085e-06,0.19518746093216513,447,Phase 1: Early
20,Pctl (1%-99%),0.0008475849144830885,3.834272680734013e-07,0.5202623979527903,490,Phase 1: Early
20,Z-Score (3),0.007992804878839233,1.3639472736850585e-06,0.04816762858944798,489,Phase 1: Early
20,Winsorized,0.001797300062312805,4.6949804069297994e-07,0.3431682026947098,502,Phase 1: Early
20,Abs (200k),0.0009164921319448315,3.054801693661496e-07,0.4985611034528834,502,Phase 1: Early
20,Abs (100k),0.007877680888233485,9.879068555826537e-07,0.047300440207100045,500,Phase 1: Early
20,MAD (3),0.0028387736507445634,1.2953943730397264e-06,0.2647532490014762,440,Phase 1: Early
20,Pctl (5%-95%),0.0038225709533925654,1.26959877352243e-06,0.19048273526156023,450,Phase 1: Early
30,Raw,0.020631786853524434,1.2322480593214314e-06,0.008467398695013548,335,Phase 1: Early
30,IQR (1.5x),0.009436975593300354,1.7010645931043025e-06,0.0947126507456463,297,Phase 1: Early
30,Pctl (1%-99%),0.001854711379817482,4.4439060598316824e-07,0.4376586358099571,327,Phase 1: Early
30,Z-Score (3),0.016965933658386438,1.525980537780471e-06,0.01881661387148727,325,Phase 1: Early
30,Winsorized,0.019272233029215966,1.302302954164446e-06,0.010967387061133498,335,Phase 1: Early
30,Abs (200k),0.020631786853524434,1.2322480593214314e-06,0.008467398695013548,335,Phase 1: Early
30,Abs (100k),0.0030416893328525894,5.320673019069811e-07,0.31640107410479473,332,Phase 1: Early
30,MAD (3),0.016500990656437026,2.2661163266660334e-06,0.026597672250786547,298,Phase 1: Early
30,Pctl (5%-95%),0.0030970374617404965,8.156153037345317e-07,0.33593008357006926,301,Phase 1: Early
45,Raw,0.06679715329789994,2.0485201847403486e-06,9.108130804552301e-05,224,Phase 1: Early
45,IQR (1.5x),0.012378713100410183,1.5099868669014228e-06,0.1158517629194156,201,Phase 1: Early
45,Pctl (1%-99%),0.06888527891960916,2.388257667847892e-06,8.786324886116878e-05,218,Phase 1: Early
45,Z-Score (3),0.03567410807589176,1.7709236627254265e-06,0.005041056987914997,219,Phase 1: Early
45,Winsorized,0.06772254726053964,2.0904045513029977e-06,8.1082152605034e-05,224,Phase 1: Early
45,Abs (200k),0.06679715329789994,2.0485201847403486e-06,9.108130804552301e-05,224,Phase 1: Early
45,Abs (100k),0.06054804044148892,2.271075688845344e-06,0.0002280070472842384,220,Phase 1: Early
45,MAD (3),0.013845446919642694,1.7003524986311773e-06,0.09874389408162104,198,Phase 1: Early
45,Pctl (5%-95%),0.005726139495566731,8.795069710579725e-07,0.28688807099663133,200,Phase 1: Early
60,Raw,0.05320895254571276,1.9567121664980585e-06,0.0026281184905412296,168,Phase 1: Early
60,IQR (1.5x),0.012467374813251858,1.2480362102589467e-06,0.16660347761757432,155,Phase 1: Early
60,Pctl (1%-99%),0.04079103871349709,1.8704853480334764e-06,0.009501812248749067,164,Phase 1: Early
60,Z-Score (3),0.011141742316353814,9.30438648643629e-07,0.17722893274778606,165,Phase 1: Early
60,Winsorized,0.05586592078909905,2.090242214118397e-06,0.0020387747416261894,168,Phase 1: Early
60,Abs (200k),0.05320895254571276,1.9567121664980585e-06,0.0026281184905412296,168,Phase 1: Early
60,Abs (100k),0.036824162403917816,1.7575787150449934e-06,0.01325696831202913,166,Phase 1: Early
60,MAD (3),0.025102614189472974,1.764040438534165e-06,0.04821467961831215,156,Phase 1: Early
60,Pctl (5%-95%),0.003446945014784787,6.404233173760931e-07,0.4754394001558506,150,Phase 1: Early
90,Raw,0.13909541065464126,2.9311682450840908e-06,5.125561337227537e-05,112,Phase 1: Early
90,IQR (1.5x),0.07335029653501128,2.331443724436313e-06,0.004779314615636445,107,Phase 1: Early
90,Pctl (1%-99%),0.12542394681966906,3.006653220394468e-06,0.000169733075452508,108,Phase 1: Early
90,Z-Score (3),0.13909541065464126,2.9311682450840908e-06,5.125561337227537e-05,112,Phase 1: Early
90,Winsorized,0.1419395071683487,2.9947272651490206e-06,4.234027817919796e-05,112,Phase 1: Early
90,Abs (200k),0.13909541065464126,2.9311682450840908e-06,5.125561337227537e-05,112,Phase 1: Early
90,Abs (100k),0.10489495425794042,2.8376693221802277e-06,0.0006278488752396471,108,Phase 1: Early
90,MAD (3),0.07335029653501128,2.331443724436313e-06,0.004779314615636445,107,Phase 1: Early
90,Pctl (5%-95%),0.038032022910428044,1.6608091238139906e-06,0.051850414151039206,100,Phase 1: Early
1,Raw,8.441221349494757e-05,-1.613863438849034e-07,0.4056574157558539,8194,Phase 2: Middle
1,IQR (1.5x),0.001197869580641445,2.1134071286137737e-05,0.007096190011682594,6050,Phase 2: Middle
1,Pctl (1%-99%),0.0008610620840850282,-1.4192438287399943e-06,0.008546830241165095,8030,Phase 2: Middle
1,Z-Score (3),0.0005732947803730334,-1.0218105326598897e-06,0.031013999238252644,8115,Phase 2: Middle
1,Winsorized,0.0006548126788131686,-1.0050732540661375e-06,0.02053707380483972,8194,Phase 2: Middle
1,Abs (200k),0.0001080173110052562,-2.0504540211373683e-07,0.34690028587769883,8193,Phase 2: Middle
1,Abs (100k),0.0007188360881449867,-6.004692946662034e-07,0.015247981012247737,8190,Phase 2: Middle
1,MAD (3),3.5736959474194416e-05,8.621043171276745e-06,0.6674473463748529,5168,Phase 2: Middle
1,Pctl (5%-95%),0.00019231706798762457,1.650739415331867e-06,0.23376558649317716,7374,Phase 2: Middle
5,Raw,0.0070355390234980355,-1.1140651925810144e-06,0.00018034847213202205,1989,Phase 2: Middle
5,IQR (1.5x),0.0012320303852638597,-2.7475774118092054e-06,0.15817657477301073,1618,Phase 2: Middle
5,Pctl (1%-99%),0.009402477320661776,-2.2994796677553922e-06,1.8014085713388465e-05,1949,Phase 2: Middle
5,Z-Score (3),0.006388291915859609,-2.0457427752070983e-06,0.0004054854746490305,1954,Phase 2: Middle
5,Winsorized,0.011193808793376453,-2.17031714909469e-06,2.258095770208126e-06,1989,Phase 2: Middle
5,Abs (200k),0.017713283102876835,-1.9366670629949285e-06,2.570286423556124e-09,1988,Phase 2: Middle
5,Abs (100k),0.012973171936344893,-1.9525665433498848e-06,3.693040551473268e-07,1982,Phase 2: Middle
5,MAD (3),0.0008232592095109419,-2.9174337721007507e-06,0.26707836954930636,1498,Phase 2: Middle
5,Pctl (5%-95%),2.7111278848327758e-05,-2.2054916799488741e-07,0.8258092898728341,1789,Phase 2: Middle
10,Raw,0.04276167357038071,-2.3765713327282645e-06,3.696018535595111e-11,1004,Phase 2: Middle
10,IQR (1.5x),6.363065243544205e-06,-9.410178095277448e-08,0.940536391698758,877,Phase 2: Middle
10,Pctl (1%-99%),0.01416804797138814,-1.9721359350075714e-06,0.0001850743479890767,982,Phase 2: Middle
10,Z-Score (3),0.015647335030161937,-2.3307123936459418e-06,8.272090236193648e-05,985,Phase 2: Middle
10,Winsorized,0.03556589017780887,-2.6955478269647086e-06,1.719516533732425e-09,1004,Phase 2: Middle
10,Abs (200k),0.06386169494073392,-3.1484697995659923e-06,4.451859800788955e-16,1003,Phase 2: Middle
10,Abs (100k),0.03445369395961331,-2.674777724096216e-06,3.527533566352782e-09,997,Phase 2: Middle
10,MAD (3),0.0005977419639814849,-1.0445646419460745e-06,0.4789046511280829,841,Phase 2: Middle
10,Pctl (5%-95%),0.006997796267171916,-2.392810129204384e-06,0.011960952818868541,902,Phase 2: Middle
15,Raw,0.09085683434652948,-3.3680588870310726e-06,1.6148438436472999e-15,669,Phase 2: Middle
15,IQR (1.5x),0.0014896286478134353,-1.1244086322725883e-06,0.34935193822238353,590,Phase 2: Middle
15,Pctl (1%-99%),0.005700885862706581,-1.1047649500242064e-06,0.05342822631178761,655,Phase 2: Middle
15,Z-Score (3),0.020055644163162176,-2.415396151026351e-06,0.00028008689585995363,654,Phase 2: Middle
15,Winsorized,0.04563621359880974,-2.9768857973023783e-06,2.4099612430586406e-08,669,Phase 2: Middle
15,Abs (200k),0.03653366722102713,-2.4003513849206513e-06,6.590687032149168e-07,667,Phase 2: Middle
15,Abs (100k),0.01737066157131301,-1.974776646873024e-06,0.0006879263504396061,660,Phase 2: Middle
15,MAD (3),7.314191077130162e-05,-2.934233908909878e-07,0.8389789145999631,567,Phase 2: Middle
