outlier_method,time_window,phase,n_obs,r2_ofi_only,r2_tfi_only,r2_combined,r2_gain_from_tfi,beta_ofi_combined,beta_tfi_combined,p_ofi_combined,p_tfi_combined,beta_ofi_solo,p_ofi_solo,beta_tfi_solo,p_tfi_solo
Z-Score (3),15,Phase 3: Near Expiry,598,0.35904775403393074,0.0012607521794953946,0.36370048728032744,0.004652733246396701,2.7618694244325833e-06,-3.8029275611149713e-07,3.1057585447738985e-33,0.035069506250607445,2.74484319292366e-06,5.691929872471354e-32,-1.976673917530478e-07,0.40524623328583775
Z-Score (3),20,Phase 1: Early,443,0.09109949014286745,0.000549563821384158,0.09223650339201883,0.0011370132491513862,2.368964456437675e-06,8.059447355024318e-07,1.1918583305180955e-10,0.18663657199536,2.3599991384452216e-06,2.664014625177885e-10,5.599904650250727e-07,0.4173790110911255
Z-Score (3),20,Phase 2: Middle,450,0.17926862922024256,0.002893917690232839,0.181436340550862,0.0021677113306194373,2.127326294516587e-06,4.3726043885538076e-07,1.1502935327520551e-12,0.17341249306013928,2.1313363166714086e-06,8.00456763315344e-13,5.051484094773864e-07,0.10281291983729678
Z-Score (3),20,Phase 3: Near Expiry,448,0.40455671985542807,2.731856668880539e-06,0.4069958222051486,0.0024391023497205566,2.8988843833989323e-06,-2.4082885289984464e-07,3.1533742558872502e-30,0.18048790108319612,2.8809318671038855e-06,4.850799338659695e-29,8.03393587285411e-09,0.9641841875369299
Z-Score (3),30,Phase 1: Early,295,0.10018641717147425,0.00021941148124138277,0.10096469549146125,0.0007782783199870025,2.487276033044072e-06,-6.073408498373442e-07,6.810318875619434e-13,0.5652585552634178,2.4782548775612624e-06,4.570102082576859e-13,-3.2219932443136735e-07,0.774671105678356
Z-Score (3),30,Phase 2: Middle,298,0.20601538970282218,0.00027994617843984937,0.20601818223382873,2.792531006545751e-06,2.642572025719992e-06,-1.757200711477457e-08,3.883069951056041e-10,0.9720138921496917,2.6421773257221368e-06,3.630644380193036e-10,1.7579334990298605e-07,0.7590002746969046
Z-Score (3),30,Phase 3: Near Expiry,300,0.3445228075073904,0.00026563932779244404,0.34714015743314464,0.002617349925754242,2.5643764637306534e-06,-1.9209362876376251e-07,7.389103530894815e-19,0.2140528761821212,2.5511804123292632e-06,1.9180230899430678e-18,-6.108925820870959e-08,0.7213466706569718
Z-Score (3),45,Phase 1: Early,197,0.14574349876378279,1.51546544245873e-05,0.1495908652676169,0.0038473665038341043,3.0586053211916136e-06,-1.2058321024212252e-06,6.352520435733065e-15,0.1964022931783781,2.9848137106446287e-06,3.70571284193478e-15,-7.481829615239813e-08,0.9415417111938958
Z-Score (3),45,Phase 2: Middle,199,0.23747119368773106,0.0009516834162324184,0.23762330556223998,0.00015211187450892005,2.2924777799149815e-06,-1.09969861985086e-07,3.299473512723428e-07,0.8150722391675502,2.294687129320097e-06,2.909083937364132e-07,-2.748681013037407e-07,0.6351951768875306
Z-Score (3),45,Phase 3: Near Expiry,200,0.4336062037535131,0.0016551477566096873,0.4382086907323548,0.004602486978841691,2.6249460806669803e-06,-2.894481551566686e-07,5.465661365701652e-18,0.2582832690982574,2.613853571590886e-06,1.6701252792927842e-17,-1.7343021770380034e-07,0.6101702900788277
Z-Score (3),60,Phase 1: Early,148,0.09975153551340088,2.7606227852028375e-05,0.10183836220689135,0.0020868266934904733,2.4708608168578077e-06,-7.715364864566601e-07,6.529657259206854e-14,0.3835423147958189,2.4144647295474863e-06,2.359730487432659e-12,8.760450316067489e-08,0.9335176388389996
Z-Score (3),60,Phase 2: Middle,150,0.3638970217353322,0.010243264755638526,0.3643434764532667,0.00044645471793447467,2.7293145812155387e-06,-1.6455699671527474e-07,9.00704763341812e-07,0.8323814901818027,2.7422098172548385e-06,2.3358401672602143e-06,-7.812099600483734e-07,0.5396482575014161
Z-Score (3),60,Phase 3: Near Expiry,151,0.297191096816914,0.0013899923469041786,0.3014284171421231,0.004237320325209071,1.9193582059914962e-06,-1.9932249355892767e-07,2.8106156812614273e-08,0.27684335843072794,1.90775677672987e-06,3.175640580693318e-08,-1.1401300179391977e-07,0.5749163520224329
Z-Score (3),90,Phase 1: Early,101,0.14755035267948413,0.08827355621672373,0.21330911902195315,0.06575876634246902,2.7295140702162156e-06,3.6180772726930685e-06,1.7535469696729222e-06,0.28044712867099375,2.9471236804017287e-06,5.777133986451219e-10,4.1665442292794074e-06,0.21611697482074366
Z-Score (3),90,Phase 2: Middle,101,0.4469465702965205,0.0025792182001217467,0.44775171433553806,0.0008051440390175468,2.884304079676635e-06,2.2919871797231234e-07,7.047902022944289e-09,0.6918792490932753,2.8698161452711154e-06,5.463002729784961e-09,-4.0735103453815296e-07,0.6542069700427176
Z-Score (3),90,Phase 3: Near Expiry,101,0.3823232755869317,0.0014082006487544652,0.39169536803043814,0.009372092443506452,2.232432450733916e-06,-3.102995893633898e-07,6.7745979170280676e-06,0.4991520346960442,2.1585241424155496e-06,5.589898963609974e-05,1.1750342874103349e-07,0.7974641391773479
