level_config,time_window,method,n_levels,r_squared,rmse,best_alpha,l1_ratio,n_nonzero_coefs,coefficients
L50pct,45,Lasso,25,0.3590060642096894,0.3076724479851667,0.1,1.0,9,"[0.0, 0.048560739768429506, 0.0, 0.0, 0.0, 0.0052926740609576615, 0.0, 0.0, 0.0, 0.0058239867898471735, 0.005718749573750614, 0.004308283668042853, 0.0, 0.0, 0.04078285864682569, 0.04804276328304608, 0.0, 0.005879998613796942, 0.0, 0.0, 0.010801711469946787, 0.0, 0.0, 0.0, 0.0]"
L50pct,45,ElasticNet,25,0.4656251162946353,0.28092129731543997,0.1,0.5,15,"[0.013290106945484772, 0.05365277726686691, 0.00724155300406501, 0.0, 0.0, 0.014115591919165978, 0.0, 0.010335262246620855, 0.0, 0.01571845810680015, 0.008462395370434217, 0.0006457311861772185, 0.0074493638999295056, 0.0, 0.023113951462020395, 0.05996632558480004, 0.010805822869968746, 0.02385370187317065, 0.0, 0.0, 0.02934433044037888, 0.0031067682701089294, 0.0, 0.0, 0.0]"
L50pct,60,OLS_L1,1,0.14565727073182133,0.4177151861084981,,,1,[0.1724766405525929]
L50pct,60,OLS_Cumulative,25,0.4703321584986213,0.32890161302971943,,,1,[0.3099320847999029]
L50pct,60,Ridge,25,0.5242235784442449,0.31172071109500954,100.0,,25,"[0.02851210330087401, 0.024189031069596714, 0.03173857728469735, -0.001378519749224843, 0.009773243161746678, 0.028896218031650475, -0.024261376440776, 0.01803549269600395, 0.03020379042429959, 0.007784424383721838, 0.011078968163025634, 0.004619547181898827, -0.006406466675098264, 0.03955378741672356, 0.005415319708731838, 0.056171394959252816, 0.04577570286162958, 0.056607978155648234, -0.024387278294701387, 0.008617960480745666, 0.045615813111532705, 0.023068289946698625, 0.014292142929428316, 0.026934888811125126, -0.017666581848221837]"
L50pct,60,Lasso,25,0.41066264865058344,0.34693345726056907,0.1,1.0,10,"[0.0, 0.028167470528690945, 0.01501750043062691, 0.0, 0.0, 0.013056299183098903, 0.0, 0.0, 0.0, 0.009763018926910623, 0.00032413148352508284, 0.0, 0.0007779161753580124, 0.0414742357077001, 0.03647738784526288, 0.05049886591678, 0.0, 0.04324189357978379, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
L50pct,60,ElasticNet,25,0.48396249154158877,0.3246420972727657,0.1,0.5,16,"[0.0005942032217064781, 0.03528914034331851, 0.028253579805068846, 0.0, 0.0, 0.022840572726261894, 0.0, 0.0, 0.016484981249947003, 0.007947798786958997, 0.005842787786979267, 0.0, 0.0, 0.04409394659933109, 0.012412618932082651, 0.05664925391042896, 0.019344623551463557, 0.04851260316676398, 0.0, 0.0, 0.021476917298594272, 0.00763517742292135, 0.007771895314641258, 0.004178639404906187, 0.0]"
L50pct,90,OLS_L1,1,0.16882591790100387,0.49151473063382706,,,1,[0.22151855088091288]
L50pct,90,OLS_Cumulative,25,0.471700297408034,0.3918598112716762,,,1,[0.3702743403539453]
L50pct,90,Ridge,25,0.5347560804731786,0.3677315521071163,100.0,,25,"[0.0419111331940101, 0.04271962708840058, 0.0389309909319686, -0.006988615272520861, -0.005665291483311038, 0.029189490190475984, -0.034976191449395906, 0.016639833445590894, 0.029954674513214513, 0.031121669396168113, 0.016082012184784927, 0.012684609365634503, 0.008348997041669345, 0.013871640339569223, -0.003033406410605133, 0.06696214056823133, 0.06478526566804764, 0.059823770094132436, -0.0031209932246863774, 0.011662931168056874, 0.04341766116520686, 0.0433771723914627, -0.014648377977229537, 0.022259838394165066, 0.006654599013240293]"
L50pct,90,Lasso,25,0.4570866012588518,0.3972426055660698,0.1,1.0,11,"[0.0, 0.048172881599673055, 0.030966344655879347, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03233878649245891, 0.006182638730911653, 0.0, 0.011758394928783831, 0.003040440275070773, 0.0, 0.11452000699074719, 0.007133076819236103, 0.04337984223576722, 0.0, 0.0, 0.0183403691711707, 0.017131639758280172, 0.0, 0.0, 0.0]"
L50pct,90,ElasticNet,25,0.49088272253729914,0.3846798691578935,0.1,0.7,13,"[0.0017892575357645105, 0.05351577796584423, 0.03785978845747403, 0.0, 0.0, 0.0020224778358223575, 0.0, 0.0, 0.0, 0.03568664919982346, 0.011972565150503794, 0.0, 0.0018163018747152646, 0.0004081868072772946, 0.0, 0.10492621591943506, 0.029938119546146662, 0.05496596580169153, 0.0, 0.0, 0.024319467929210938, 0.031378908284904354, 0.0, 0.0, 0.0]"
ALL,1,OLS_L1,1,0.056869712350265056,0.06145717318456932,,,1,[0.01509132076627817]
ALL,1,OLS_Cumulative,50,0.2919660170989712,0.05324928561039298,,,1,[0.034194234606021535]
ALL,1,Ridge,50,0.3822475653925669,0.049738646982812294,100.0,,50,"[0.00656637934153207, 0.0025900078823828682, 0.00550642582185231, 0.0034407407687372725, 0.0028051765035114703, 0.0018888401080745514, 0.001290291071751123, 0.003735232065190763, 0.001838460011519931, 0.0030447207992522368, 0.0025701319805720296, 0.0028904911526942204, 0.0023617250180684706, 0.003332121288457242, 0.0038282107781180746, 0.0050938251729411455, 0.004318863208458788, 0.0030578336913777413, 0.003217126920314782, 0.003129369061431388, 0.0015103992890567967, 0.0027112879801169765, 0.0013090186455880519, -0.0002857825747540194, -2.7234644796305525e-05, -0.0009339907378693332, -0.0013738251209887981, 0.0005726120769617015, 0.0006856356832886767, -0.0001984204316800592, 0.0013136972377818278, 0.0009851217985545984, -0.0005563039637471669, -0.0009909751725483134, 0.0009479837436679315, -0.0012787346134425317, 0.0008704650120837469, 0.0005156566414544657, 0.0002831751753316811, -0.0010580442185516264, 0.000698311537622405, 0.0013641140169701872, 0.0014370276378218349, 0.00105410387506566, 0.0009958308568397219, 0.0009671922230232948, 9.361177490919953e-05, 0.0006206880013467407, 0.0005525485010348655, 1.914834963835877e-05]"
ALL,1,Lasso,50,0.37948817608428287,0.04984961001467752,0.001,1.0,38,"[0.006025246095195096, 0.0022869080319294095, 0.005429519601743687, 0.0033496620708118254, 0.002511119859374316, 0.0015091196079591344, 0.0012978145776355705, 0.003667223756132221, 0.001301147810349799, 0.0030665413185441076, 0.002541556357072804, 0.0027102933609683463, 0.002308465932326652, 0.0033700228152973638, 0.00366730217900096, 0.0048749208065139785, 0.0037512965940064242, 0.0031286550660618276, 0.00283941812604909, 0.0027679152716976706, 0.0012621094011349306, 0.002403479646263488, 0.0008157387870152463, 0.0, 0.0, -0.0, -0.0, 0.0001020830755821909, 0.0004944371015069357, 0.0, 0.0004864386733740412, 0.000318414597297154, 0.0, 0.0, 0.0006861195762398483, 0.0, 0.0008108804635583537, 0.00028749124309417545, 0.0, 0.0, 0.00027632348478797504, 0.0009071608591674092, 0.0007596740677967853, 0.0006593685156856119, 0.0004169563742572252, 0.0008670523715933931, 0.0, 0.0004193472670082524, 0.0003575341335116996, 0.0]"
ALL,1,ElasticNet,50,0.3503294101614983,0.051007417739515955,0.01,0.5,23,"[0.0036956700742167017, 0.0012646404982665587, 0.004758982383545574, 0.003187366831120214, 0.0023682297999713057, 0.0006905695116659248, 0.0014197701077803392, 0.0029769960110507887, 0.0007092351863028948, 0.002821830748242509, 0.002619030981977772, 0.002370163368322802, 0.0021076361181395194, 0.003481179967219647, 0.003707212860047675, 0.004922851522662507, 0.0030402834953868426, 0.002528617801339834, 0.0021844111706440183, 0.0014851479665849508, 0.0, 0.001241216562668593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000575187637618375, 0.0, 0.0005229333802743113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ALL,5,OLS_L1,1,0.09857100985128553,0.12297867423238867,,,1,[0.04066667353436707]
ALL,5,OLS_Cumulative,50,0.3076937764546863,0.107773792133926,,,1,[0.07184944245698839]
ALL,5,Ridge,50,0.39540292170660807,0.1007156751581235,100.0,,50,"[0.01495566254894457, 0.004683027662018651, 0.009127467359748013, 0.003607095738136902, 0.0027397212728739345, 0.006300679138603427, -0.0004121311359132791, 0.005395529215709222, 0.004697316789101312, 0.00406688759002681, 0.003047713452197596, 0.003430799198968645, 0.004872997036889428, 0.011794886676481965, 0.005031073118984291, 0.014381370638057138, 0.0037439918595707153, 0.006921542187626136, 0.004849691115324516, 0.0047618899415333305, 0.005800795595913518, 0.006042816171986261, 0.0030692815006713755, -0.002203517478851728, 0.0005166882918389844, -0.001981129138019545, -0.0012538272195330978, 0.002119827152567367, 0.0035732546892346694, 0.0009289982844041014, 0.0018549088395971762, 0.0001255460646255676, 9.281321832823465e-05, -0.005544809273856467, 2.6678096018528714e-05, -0.003310736437903113, -0.00028411231918443555, -0.0016878489572902337, 0.007482884010599466, -0.0015002958610331274, 0.004215777391674024, 0.00036015674295655125, 0.0032226654706179127, 0.0012951204270937988, 0.005425208322234382, -7.658595021617293e-05, -0.000715691958536239, 0.005273711664133183, -0.0031719501136460103, -0.000968402986152789]"
ALL,5,Lasso,50,0.3673100008222996,0.10302901105995249,0.01,1.0,25,"[0.009712763476236539, 0.0031851929875498543, 0.010429747027693281, 0.0034030904795816627, 0.0, 0.004887415190717365, 0.0005410174930876806, 0.0037992576857580245, 0.0024677459445542177, 0.004716885557757381, 0.0018339897140224367, 0.0025282497259123825, 0.00435788553792142, 0.012638189465948024, 0.004338421707349758, 0.015229332365445113, 0.0, 0.00745500956746269, 0.003104300578737589, 0.0002492923686136972, 0.0018839606040438254, 0.0030717279923855798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009323378560501395, 0.0004919176176700565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0043228262985146836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010075190360103477, 0.0, 0.0, 0.0005728156828259482, 0.0, 0.0]"
ALL,5,ElasticNet,50,0.36597230933489167,0.10313787026403304,0.1,0.1,28,"[0.009096385492940574, 0.0033964133915382797, 0.009819475644047015, 0.0037170744924213033, 0.00010220922532900828, 0.004537087655047345, 0.0010792259828333892, 0.0035904320435428154, 0.002777983631356096, 0.004564488965245632, 0.00220278411510258, 0.0028339249860829968, 0.004404271890788371, 0.011441041130818974, 0.0046878067805387995, 0.013695641184210494, 0.0003403346341941014, 0.0071283648576023605, 0.003141080368684499, 0.0007268230536713273, 0.0018844949147915448, 0.003029681711059125, 0.0, 0.0, 0.0, 0.0, 0.0, 3.726815505540669e-05, 0.0012322146674195484, 0.0008222586958909423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003990952892664104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003050883238693273, 0.0, 0.0, 0.0007550313289580954, 0.0, 0.0]"
ALL,10,OLS_L1,1,0.14763142285998943,0.16999387185244194,,,1,[0.07074715059593793]
ALL,10,OLS_Cumulative,50,0.3387712454196129,0.14972537719988155,,,1,[0.10716989879244068]
ALL,10,Ridge,50,0.44591191933130325,0.13705944035483708,100.0,,50,"[0.02831296104832026, 0.008203209478681906, 0.007007823104080013, 0.002137585728183748, 0.0015622865420636682, 0.020637273531519455, -0.005610781974537481, 0.013646072561645194, 0.004485993169067212, 0.0006605044651580117, 0.00945914232395878, -0.0021405133156814763, 0.0053292181581859575, 0.01835592222128584, 0.007613536300900395, 0.022669387433098365, 0.008723260474691725, 0.01008946816774605, 0.002410036125541403, 0.00772657342069859, 0.015530029341613242, 0.005708939141881877, 0.004686742683568455, -0.002123226385253479, -0.0027575579231200378, -0.0021755575152401503, 0.0002360717174761624, -9.655245819820404e-05, 0.004148245005576125, -0.0017146100992817364, 0.0048863115823007544, -0.0021925786590452504, -0.0010785585283303875, -0.0013372124401986455, 0.00018344088889510105, -0.002557853254170627, -0.00569783692704173, -0.002831415140569701, 0.011235272569199694, -0.006805839478641916, 0.006683593750246172, -0.002064142413334447, 0.005746366041074803, 0.0024995258416174193, 0.00757160077703923, 0.0022815929787553856, -0.0046137349997180995, 0.010812297459539984, -0.007802204564105914, 0.003725400414568139]"
ALL,10,Lasso,50,0.4288559033919357,0.13915294316456542,0.01,1.0,21,"[0.024986677327565213, 0.005492385346841933, 0.008522691815283333, 0.0, 0.0, 0.014936614437293227, 0.0, 0.010220979549837698, 0.0034134901406116984, 0.00011452445562688829, 0.007586134264701083, 0.0, 0.0049516803102825835, 0.01992193435788912, 0.005249736963195175, 0.022999757588813754, 0.005143480413925344, 0.010288162715733603, 0.0, 0.003645641319849097, 0.01334612078252148, 0.0025474848680871872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002063192188954049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004880794220123707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025761627600150963, 0.0, 0.0, 0.0028434273395468905, 0.0, 0.0]"
ALL,10,ElasticNet,50,0.42709153194791316,0.13936771222252325,0.1,0.1,24,"[0.022598771028068336, 0.005884157741552728, 0.00906295286418638, 0.0010126818291506252, 0.0, 0.013583448993370667, 0.0, 0.009832708186987954, 0.003914342250564625, 0.0015435861632576656, 0.007224718398393995, 0.0, 0.005713489355498191, 0.01767760972655244, 0.006379910406382955, 0.020437563245710486, 0.005642171222192491, 0.009745559781306468, 0.0006615331039992134, 0.004047220411717788, 0.012189458474706446, 0.0029712876471764916, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002684256036260285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004797024253321871, 0.0, 0.0, 0.0, 0.0001452000502156809, 0.0, 0.002757912733763324, 0.0, 0.0, 0.002955338384334706, 0.0, 0.0]"
ALL,15,OLS_L1,1,0.1857340007066418,0.19999091717288367,,,1,[0.09551527458988747]
ALL,15,OLS_Cumulative,50,0.36174625247296055,0.1770613652252344,,,1,[0.13329969083313362]
ALL,15,Ridge,50,0.4843209603516442,0.15915374468360638,100.0,,50,"[0.03676929771076796, 0.010926613536875235, 0.011842980568208077, 0.003342349008534034, 0.00018495588225864298, 0.011829179462757715, -0.001296401593976784, 0.01786168418273225, 0.012556292963888174, 0.009496671925848755, 0.011981107573802989, -0.010651554180835986, 0.0053806844315517875, 0.018376236424790846, 0.008906627076898854, 0.027212125470290057, 0.003601518240805608, 0.01893262448488695, -0.0007403652678254733, 0.003295753653466894, 0.01202081529552129, 0.01938720655519006, 0.004292514055040288, 0.000340242031684638, 0.0011128334776939577, -0.0050423947958076806, 0.004515509767735673, -0.001466426758259309, 0.008967761908314336, 0.002231640579921168, 0.0018244427330282374, -0.0005443145644440881, -0.0004928934856272239, -0.012432664111892942, -0.007960672023009818, -0.004754427774209715, -0.0014032819702699533, -0.0026466750783156875, 0.009198873799505965, -0.004328875215993317, 0.006313777194468629, -0.0026511898377867974, 0.010503979882912608, -0.0023933037459411104, 0.014732772850647093, 0.0009165345709658947, -0.008170809119694467, 0.013472907813348922, -0.00970158236037742, 0.0016674484729729835]"
ALL,15,Lasso,50,0.4671161476548624,0.1617869180122574,0.01,1.0,22,"[0.03491675184185465, 0.007390577930380932, 0.013200842263364666, 0.0, 0.0, 0.01074424102076058, 0.0, 0.014254567583619055, 0.012327518659877827, 0.008543284406834778, 0.005971784480033192, 0.0, 0.0019767308565857736, 0.017527369051016522, 0.007411347303572877, 0.026298819390138242, 0.0, 0.015926607925436757, 0.0, 0.0, 0.006948414228941012, 0.01759964453992059, 0.0007273844725426429, 0.0, 0.0, 0.0, 0.0008940297265353592, 0.0, 0.003964379021891804, 0.001045801052648164, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0001332274116927194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006862859877968912, 0.0, 0.0, 0.0039140226955970145, 0.0, 0.0]"
ALL,15,ElasticNet,50,0.4174095723006386,0.16916433042883647,0.1,0.3,15,"[0.024191813916692374, 0.0035351330920626103, 0.015083980529254746, 0.0, 0.0, 0.007040319239772097, 0.0, 0.010626281582794038, 0.007753350253729166, 0.008985661315896747, 0.00543034833687929, 0.0, 0.0023968042827015265, 0.015859959626581748, 0.008976106373717384, 0.02265371154338415, 0.0, 0.010619841976918613, 0.0, 0.0, 0.0, 0.01058191834027987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00325340416067333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ALL,20,OLS_L1,1,0.1758117146744851,0.23128089055528842,,,1,[0.1068194744825628]
ALL,20,OLS_Cumulative,50,0.346562980250533,0.20593416346424495,,,1,[0.14997456712076154]
ALL,20,Ridge,50,0.4828932264352813,0.18319627787746434,100.0,,50,"[0.03642339131895725, 0.016021012038684623, 0.008901742780682306, 0.01105554140323084, -0.002338879370784789, 0.00853590610300613, -0.013176989007762267, 0.01796819453724244, 0.01384680375036406, 0.005671721927845653, 0.009884324321629797, 0.0013795183469237973, 0.00089983993273183, 0.015506653805028803, 0.016202676418145625, 0.028425321895243858, 0.013371132734125605, 0.01844181761576956, -0.0030283023307463948, 0.016156619106244025, 0.020454032000949703, 0.013670552565875837, 0.013699784836762806, -0.004101333578881569, -0.0067708601882626816, -0.004552661887509133, 0.0012319324732910574, 0.012380578273987449, 0.00561250018885854, 0.004787473233440726, -0.000952240239211494, -0.0018904388363813463, -0.00659718056534861, -0.018338520540052656, 0.01768983623564522, -0.025442087762621964, -0.002611665556425991, 0.005410442545550678, 0.017671676747308906, -0.009583010550070931, 0.013477201945301102, -0.0002970624701352654, -0.005244720271189375, 0.003441021506241851, 0.0046548510285873475, 0.013157407891823654, -0.012878878975667054, 0.017779496039534957, -0.017899534895757102, 0.005737640400924703]"
ALL,20,Lasso,50,0.45529024277805563,0.1880221912011184,0.01,1.0,24,"[0.03822153224150065, 0.013710006137623158, 0.005545557852574261, 0.003899741579754591, 0.0, 0.00446457040754993, 0.0, 0.012826477815285509, 0.009556571714710456, 0.008867958954867276, 0.008824032918838699, 0.0, 0.0, 0.015261790424111455, 0.01471949046036321, 0.028110689489897683, 0.002672002506083881, 0.01984022957574474, 0.0, 0.007005122663308711, 0.015870693131392694, 0.0086436514794587, 0.00512310967541319, 0.0, 0.0, 0.0, 0.0, 0.005656362112961973, 0.0027152160231368105, 0.0025837565973541904, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.006144301321474513, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.008653062363815732, 0.0, 0.001838128064676061, 0.0, 0.0]"
ALL,20,ElasticNet,50,0.4142005408608421,0.19498491587741362,0.1,0.3,21,"[0.027046838481705693, 0.012434836564008364, 0.004030629125772047, 0.005038539677047294, 0.0, 0.0047045318320980785, 0.0, 0.011394243281087115, 0.0064382952366743304, 0.007595433182697144, 0.009005207155149157, 0.0, 0.0032982129404954402, 0.014466271492984337, 0.019782390985963474, 0.02354524595010476, 0.0, 0.015767794037942855, 0.0, 0.0, 0.00953789904042325, 0.0020788364892442616, 0.0008567771763726094, 0.0, 0.0, 0.0, 0.0, 0.00046787218215149623, 0.004958273817998671, 0.0018609882205173314, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010774944766436215, 0.0, 0.0, 0.0, 0.0]"
ALL,30,OLS_L1,1,0.1474281024196339,0.2892922304417943,,,1,[0.12029882932127096]
ALL,30,OLS_Cumulative,50,0.373117545614149,0.2480643302607895,,,1,[0.1913789199006058]
ALL,30,Ridge,50,0.505631779033862,0.22029088923820853,100.0,,50,"[0.027720484584021484, 0.01634654526032069, 0.0234131312202273, 0.007554704115800907, -0.0033159644069687745, 0.01791857619842163, -0.005354190657799327, 0.02325700140547361, 0.010118882148306106, 0.009480492243075005, 0.008331279841272523, -0.008288004899591623, 0.002509724721841593, 0.02423375975559648, 0.004784111749312534, 0.040565547504084636, 0.00923264032992118, 0.02896146178675942, -0.002835869486862064, -0.005146086003987965, 0.047666267799448235, 0.022916207998188106, 0.0017404304853636155, 0.01618384176233224, -0.007537949532642933, 0.0032543505777510085, 0.0009786999293710137, 0.01079700312551223, 0.004062692905172252, 0.015247574659803202, 0.002746681159070311, -0.004118234055620901, -0.015648095684482544, 0.0025102549606041756, -0.011839209386016274, -0.0006415241116911434, -0.010007403858196843, -0.011113578192662458, 0.012592085810273585, -0.014709072058223704, 0.012010703209224512, 0.0008577311422714944, 0.022546589389839677, -0.012374960733159721, 0.015168151476871299, 0.0031879799070999464, -0.012682432075390349, 0.032881765004301955, -0.02575821006093166, 0.007025890292300722]"
ALL,30,Lasso,50,0.48160608684391126,0.22558032082468718,0.01,1.0,19,"[0.026793691590845332, 0.013917002088723091, 0.02569207525708736, 0.0, 0.0, 0.010319056586332242, 0.0, 0.017459051756062657, 0.012486748352189022, 0.008621305786175232, 0.0032056980950392862, 0.0, 0.0, 0.027339840678109482, 0.0, 0.03871815786673305, 0.0058649908438587455, 0.022227523825314774, 0.0, -0.0, 0.04493953276869716, 0.018333026966908677, 0.0, 0.009651277808623222, -0.0, 0.0, 0.0, 0.006479129015210327, 0.0, 0.008608979194233908, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.011514090357618797, 0.0, 0.0, 0.0, 0.0, 0.008312558814930744, -0.0, 0.0]"
ALL,30,ElasticNet,50,0.4527339201392563,0.23177710215117214,0.1,0.3,19,"[0.014949816885474159, 0.014904643863715351, 0.025403880482894846, 0.0, 0.0, 0.006715274986414111, 0.0, 0.014849239673041373, 0.008419068634509726, 0.013665684650634313, 0.004383085140672873, 0.0, 0.008666372242189038, 0.02018628398717193, 0.0147089507191121, 0.0315336690687737, 0.0, 0.01662615821897982, 0.0, 0.0, 0.03354358418367297, 0.010546999674424703, 0.0, 0.002470673733255691, 0.0, 0.0, 0.0, 0.0033138987044926335, 0.0, 0.003498228614111366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002927281106268704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ALL,45,OLS_L1,1,0.17277458616879915,0.349521246635308,,,1,[0.15973554846613766]
ALL,45,OLS_Cumulative,50,0.38811895984497824,0.30060426957791797,,,1,[0.23941098639119315]
ALL,45,Ridge,50,0.5388600238958865,0.26096245716551725,100.0,,50,"[0.034222339048614554, 0.053617469271465774, 0.021710059442460235, -0.010360152120822558, 0.00727488096442349, 0.019221358748319244, -0.018974075903487996, 0.0224671276098133, 0.018973553187705366, 0.010697184354210746, 0.0060524891979694155, 0.007245676989351549, 0.002158972378451748, 0.01038897583676025, 0.01483137997281309, 0.06522667310822264, 0.03524525138311286, 0.04007837678185676, -0.014920810856186482, 0.008037554578195313, 0.04063064596716567, 0.021885571010634954, 0.0003883892712575635, 0.006601318761695601, -0.007422693076302953, -0.0027229582426888943, -0.010299651876967427, 0.026425510621306065, -0.010639060162248184, 0.015940988261678304, -0.009190132313111162, 0.0055529765125466235, -0.006001991063562723, -0.02662609841508883, -0.006146536868930161, 0.0040435978494542425, -0.004120731776816495, -0.01629569887027389, 0.014702200481644868, -0.0017236097215929365, 0.013159678311781846, -0.011531176447346272, 0.014659168334331537, -0.007732790209000511, 0.01594979994253836, -0.0006712881360217375, -0.012615362348003324, 0.03462475417558964, -0.01835733276563022, 0.012403961510809249]"
ALL,45,Lasso,50,0.3590060642096894,0.3076724479851667,0.1,1.0,9,"[0.0, 0.048560739768429506, 0.0, 0.0, 0.0, 0.0052926740609576615, 0.0, 0.0, 0.0, 0.0058239867898471735, 0.005718749573750614, 0.004308283668042853, 0.0, 0.0, 0.04078285864682569, 0.04804276328304608, 0.0, 0.005879998613796942, 0.0, 0.0, 0.010801711469946787, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ALL,45,ElasticNet,50,0.46628014657263717,0.2807490695540073,0.1,0.5,17,"[0.01335728392873041, 0.05275424857385233, 0.007418789337634889, 0.0, 0.0, 0.013953818130414726, 0.0, 0.009417033139877221, 0.0, 0.015480729478196379, 0.006647010933406254, 0.0006103334596631405, 0.007743684326192087, 0.0, 0.023782500946510823, 0.06036369664628124, 0.009542369941309964, 0.022352467437234243, 0.0, 0.0, 0.02940012584814166, 0.002885208553928067, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005610023359149167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006292735526914302, 0.0, 0.0]"
ALL,60,OLS_L1,1,0.14565727073182133,0.4177151861084981,,,1,[0.1724766405525929]
ALL,60,OLS_Cumulative,50,0.4275485512450159,0.3419271055289158,,,1,[0.29549961547620196]
ALL,60,Ridge,50,0.5723823060379312,0.29552350845895575,100.0,,50,"[0.02834545311791555, 0.02013900296003911, 0.03593260747772605, -0.0052699022806705995, 0.010268992857632662, 0.024253654855260983, -0.027482696194681043, 0.019720425582388835, 0.02476930721090953, 0.0038178628917528742, 0.0070784423362523045, 0.009789458689619248, -0.010470459864058111, 0.03939968806915604, 0.006118616886123963, 0.05593705874552818, 0.04571502560572257, 0.05529975360359488, -0.021317251832288032, 0.00825507243520203, 0.0490075638995298, 0.022988887711660275, 0.013526790503972779, 0.023522140300815272, -0.01581363571885177, -0.01188848507895671, -0.008043666850008869, 0.03354368942312917, 0.008962114770958934, 0.03437744950680358, -0.011733055250913968, 0.0026248435028797543, -0.012255790130771872, -0.054214412428362425, 0.012133661465787687, -0.017028721660946707, 0.015351450962987132, -0.007844640822915805, 0.026063233211944977, -0.029848631477581485, 0.027323009207470238, 0.0040054647057227635, -0.002415857285732826, -0.01564871538155849, 0.028491672739323605, 0.02112227849395791, -0.0047120689250060716, 0.018260107672715402, -0.02935616874379574, 0.011684971988022458]"
ALL,60,Lasso,50,0.4116663973900463,0.34663788595282397,0.1,1.0,11,"[0.0, 0.02790429018963445, 0.014573621318058318, 0.0, 0.0, 0.01328633906131649, 0.0, 0.0, 0.0, 0.010254710565305329, 0.00043769596071658104, 0.0, 0.0003075627398657217, 0.04136322564395915, 0.03381746172428278, 0.05048886455158614, 0.0, 0.043212755171128645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0041388604016633045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ALL,60,ElasticNet,50,0.46396866510561374,0.33087144608410296,0.1,0.7,17,"[0.0, 0.03140105219293279, 0.022376901521757343, 0.0, 0.0, 0.020354211428426798, 0.0, 0.0, 0.008698295825066565, 0.01097262680960698, 0.004287080087148836, 0.0, 0.0, 0.043269974200651824, 0.013141952097465055, 0.055667560140017364, 0.009159740270251413, 0.04741336213465623, 0.0, 0.0, 0.010382394889729907, 0.00042668298670246415, 0.001788366057984883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01754378999430575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003913072695685888, 0.002304459831338747, 0.0, 0.0, 0.0, 0.0]"
