level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L20,30,Abs (100k),0.3,0.7286077746583718,0.00019056230418148411,3.2373188127083363e-262,920,3.838552239343779e-06
L20,30,Abs (200k),0.3,0.7286077746583718,0.00019056230418148411,3.2373188127083363e-262,920,3.838552239343779e-06
L20,30,Raw,0.3,0.7286077746583718,0.00019056230418148411,3.2373188127083363e-262,920,3.838552239343779e-06
L50pct,60,Winsorized,0.3,0.7275325654175532,0.00016280103325335275,2.1234164897833498e-131,460,4.655383900628045e-06
L50pct,30,Abs (100k),0.3,0.7273968096376863,0.00015561795699501647,2.5005573866077587e-261,920,3.144257749726223e-06
L50pct,30,Abs (200k),0.3,0.7273968096376863,0.00015561795699501647,2.5005573866077587e-261,920,3.144257749726223e-06
L50pct,30,Raw,0.3,0.7273968096376863,0.00015561795699501647,2.5005573866077587e-261,920,3.144257749726223e-06
L20,60,Winsorized,0.3,0.7272568973065929,0.0001995486886881511,2.6772432916586256e-131,460,5.710170856491113e-06
L50pct,60,Abs (200k),0.5,0.7263567380064627,2.056772369753367e-05,5.697050790223504e-131,460,5.898897978050905e-07
L50pct,60,Raw,0.5,0.7263567380064627,2.056772369753367e-05,5.697050790223504e-131,460,5.898897978050905e-07
L50pct,20,Raw,0.3,0.724784580495706,0.00014628081785811428,0.0,1376,2.431789181422789e-06
L50pct,20,Abs (200k),0.3,0.724784580495706,0.00014628081785811428,0.0,1376,2.431789181422789e-06
L50pct,20,Abs (100k),0.3,0.724784580495706,0.00014628081785811428,0.0,1376,2.431789181422789e-06
L50pct,90,Abs (200k),0.5,0.7237973104898717,1.9975500312385973e-05,9.039765574807669e-88,309,7.042614992877471e-07
L50pct,90,Raw,0.5,0.7237973104898717,1.9975500312385973e-05,9.039765574807669e-88,309,7.042614992877471e-07
L5,45,Winsorized,0.3,0.7232597698521481,0.0008625591747493087,3.743475860577998e-173,615,2.1550018939541123e-05
L20,60,Abs (200k),0.5,0.7193491681496426,2.5020059651797798e-05,1.8729373993225116e-128,460,7.302455108099231e-07
L20,60,Raw,0.5,0.7193491681496426,2.5020059651797798e-05,1.8729373993225116e-128,460,7.302455108099231e-07
L20,60,Abs (100k),0.5,0.7193491681496426,2.5020059651797798e-05,1.8729373993225116e-128,460,7.302455108099231e-07
L2,90,Pctl (1%-99%),0.3,0.7171181525329485,0.0019876555136002128,5.627792532581522e-84,301,7.219592837383802e-05
L20,90,Raw,0.5,0.7169884246196064,2.4247515160607173e-05,3.816389009985608e-86,309,8.694489334925264e-07
L20,90,Abs (200k),0.5,0.7169884246196064,2.4247515160607173e-05,3.816389009985608e-86,309,8.694489334925264e-07
L3,15,Raw,0.3,0.7158421459924533,0.001394558789705976,0.0,1835,2.0522336047741498e-05
L3,15,Abs (200k),0.3,0.7158421459924533,0.001394558789705976,0.0,1835,2.0522336047741498e-05
L3,15,Abs (100k),0.3,0.7158421459924533,0.001394558789705976,0.0,1835,2.0522336047741498e-05
L2,15,Abs (100k),0.3,0.7155342469807895,0.0021447525473188706,0.0,1835,3.1586080790832634e-05
L2,15,Abs (200k),0.3,0.7155342469807895,0.0021447525473188706,0.0,1835,3.1586080790832634e-05
L2,15,Raw,0.3,0.7155342469807895,0.0021447525473188706,0.0,1835,3.1586080790832634e-05
