r_squared,rmse,best_alpha,n_obs,feature_group,time_window,method,n_features
0.40682411713601585,0.19620870659433376,,1376,Cumulative_L25,20,OLS,1
0.4336507236853284,0.23578351522356458,,920,Cumulative_L25,30,OLS,1
0.446601455913781,0.28587794574250713,,615,Cumulative_L25,45,OLS,1
0.4703321584986212,0.3289016130297195,,460,Cumulative_L25,60,OLS,1
0.471700297408034,0.3918598112716762,,309,Cumulative_L25,90,OLS,1
0.2919660170989713,0.05324928561039298,,22607,Cumulative_L50,1,OLS,1
0.3076937764546863,0.107773792133926,,5430,Cumulative_L50,5,OLS,1
0.3387712454196129,0.14972537719988155,,2747,Cumulative_L50,10,OLS,1
0.36174625247296055,0.1770613652252344,,1835,Cumulative_L50,15,OLS,1
0.346562980250533,0.20593416346424492,,1376,Cumulative_L50,20,OLS,1
0.373117545614149,0.2480643302607895,,920,Cumulative_L50,30,OLS,1
0.38811895984497824,0.30060426957791797,,615,Cumulative_L50,45,OLS,1
0.4275485512450159,0.3419271055289158,,460,Cumulative_L50,60,OLS,1
0.420407635609404,0.4104420703193071,,309,Cumulative_L50,90,OLS,1
0.0028283262901488415,0.06319339687997627,,22607,Normalized_L1,1,OLS,1
0.01048655499776674,0.1288471735562,,5430,Normalized_L1,5,OLS,1
0.015641261514236615,0.1826822074268353,,2747,Normalized_L1,10,OLS,1
0.010314599335673691,0.22048330166330687,,1835,Normalized_L1,15,OLS,1
0.024163579261366586,0.2516604934331384,,1376,Normalized_L1,20,OLS,1
0.029909095619169435,0.30858689567133496,,920,Normalized_L1,30,OLS,1
0.031007603863773103,0.37828736085735465,,615,Normalized_L1,45,OLS,1
0.056371566872628454,0.4390001915366757,,460,Normalized_L1,60,OLS,1
0.03987024400617378,0.5282694628459429,,309,Normalized_L1,90,OLS,1
0.09284016245083637,0.06027380956708951,100.0,22607,Normalized_L10,1,Ridge,10
0.10342582026493774,0.12264706509215852,100.0,5430,Normalized_L10,5,Ridge,10
0.11597870268652222,0.17312146325115638,100.0,2747,Normalized_L10,10,Ridge,10
0.10192156108305894,0.21003141427487323,100.0,1835,Normalized_L10,15,Ridge,10
0.1320727614172469,0.23733849897659365,100.0,1376,Normalized_L10,20,Ridge,10
0.13734189273623265,0.2909984108569005,100.0,920,Normalized_L10,30,Ridge,10
0.13280825655278994,0.35786499029731245,100.0,615,Normalized_L10,45,Ridge,10
0.21109491940837632,0.40139926875430537,100.0,460,Normalized_L10,60,Ridge,10
0.23583337443863683,0.4712860392724741,100.0,309,Normalized_L10,90,Ridge,10
0.3578542104254677,0.05071116105260266,,22607,Exp_Weighted,1,OLS,1
0.3578711288076777,0.1037946920772834,,5430,Exp_Weighted,5,OLS,1
0.3949869020161412,0.14321942923975364,,2747,Exp_Weighted,10,OLS,1
0.4301817863957139,0.16729974739033793,,1835,Exp_Weighted,15,OLS,1
0.4118290895264961,0.19537918921097377,,1376,Exp_Weighted,20,OLS,1
0.42945290429953686,0.2366557237221719,,920,Exp_Weighted,30,OLS,1
0.4512398819125465,0.2846773517016743,,615,Exp_Weighted,45,OLS,1
0.4590724043653177,0.33237914732060975,,460,Exp_Weighted,60,OLS,1
0.4618045459475607,0.39551281027235835,,309,Exp_Weighted,90,OLS,1
0.03890533470351576,0.06203971837159019,,22607,Exp_Weighted_Norm,1,OLS,1
0.039976192830837864,0.12691268956165289,,5430,Exp_Weighted_Norm,5,OLS,1
0.04576774589308974,0.1798649727637779,,2747,Exp_Weighted_Norm,10,OLS,1
0.034668518131773185,0.21775360652497078,,1835,Exp_Weighted_Norm,15,OLS,1
0.04695110651972101,0.24870477466454735,,1376,Exp_Weighted_Norm,20,OLS,1
0.05079856198503119,0.3052463341292596,,920,Exp_Weighted_Norm,30,OLS,1
0.03557530121399621,0.3773947102701248,,615,Exp_Weighted_Norm,45,OLS,1
0.06771333336452245,0.436353975487071,,460,Exp_Weighted_Norm,60,OLS,1
0.06483630918574368,0.5213559808854493,,309,Exp_Weighted_Norm,90,OLS,1
0.3574338112952099,0.05072775809351376,100.0,22607,PCA_Raw,1,Ridge,5
0.36170769290529003,0.10348415349220245,100.0,5430,PCA_Raw,5,Ridge,5
0.39254374108208046,0.14350831189189983,100.0,2747,PCA_Raw,10,Ridge,5
0.42079724778478145,0.1686717808235049,100.0,1835,PCA_Raw,15,Ridge,5
0.4089428697739773,0.1958579762169315,100.0,1376,PCA_Raw,20,Ridge,5
0.42461109420825593,0.23765776313529088,100.0,920,PCA_Raw,30,Ridge,5
0.4428862491406521,0.2868359524737427,100.0,615,PCA_Raw,45,Ridge,5
0.4577821099850091,0.3327753292735584,100.0,460,PCA_Raw,60,Ridge,5
0.4440805078182877,0.4019726388249244,100.0,309,PCA_Raw,90,Ridge,5
0.1364957297450281,0.05880563976453994,100.0,22607,PCA_Normalized,1,Ridge,5
0.07130218111784825,0.12482490929466515,100.0,5430,PCA_Normalized,5,Ridge,5
0.06721298361590922,0.1778323618118315,100.0,2747,PCA_Normalized,10,Ridge,5
0.053098811652919076,0.2156648921677998,100.0,1835,PCA_Normalized,15,Ridge,5
0.057282425840078144,0.2473530864939857,100.0,1376,PCA_Normalized,20,Ridge,5
0.06047081702184287,0.30368713918527873,100.0,920,PCA_Normalized,30,Ridge,5
0.04794840296648584,0.37496599966043365,100.0,615,PCA_Normalized,45,Ridge,5
0.08075836378677959,0.4332903772130078,100.0,460,PCA_Normalized,60,Ridge,5
0.06466254708727048,0.5214044150271757,100.0,309,PCA_Normalized,90,Ridge,5
