timestamp,trade_imbalance,total_volume,num_trades
2025-10-18 15:45:00+00:00,-104.33471600000021,12604.648854,62
2025-10-18 16:30:00+00:00,2932.890866000001,23806.860144000002,50
2025-10-18 17:15:00+00:00,25617.840904,65153.8362,73
2025-10-18 18:00:00+00:00,-900.8407259999996,79963.89801599999,84
2025-10-18 18:45:00+00:00,-14875.25441,77803.734754,177
2025-10-18 19:30:00+00:00,22894.708509999997,172625.866606,277
2025-10-18 20:15:00+00:00,18982.039796,211083.157458,597
2025-10-18 21:00:00+00:00,-11204.171839999997,406302.135412,411
2025-10-18 21:45:00+00:00,439.7077079999999,89764.546108,147
2025-10-18 22:30:00+00:00,133781.16027000002,226139.172064,155
2025-10-18 23:15:00+00:00,31178.292472,62164.40055,204
2025-10-19 00:00:00+00:00,16205.514078,80950.804774,129
2025-10-19 00:45:00+00:00,16846.642348,229387.458194,438
2025-10-19 01:30:00+00:00,107735.623266,309973.908468,752
2025-10-19 02:15:00+00:00,48512.656314,251066.101626,748
2025-10-19 03:00:00+00:00,7155.249404,38295.532712,164
2025-10-19 03:45:00+00:00,13517.198900000001,103351.678446,318
2025-10-19 04:30:00+00:00,38268.311638,195257.06225,648
2025-10-19 05:15:00+00:00,18032.146526,234410.7788,831
2025-10-19 06:00:00+00:00,18298.578494,95132.16516,327
2025-10-19 06:45:00+00:00,1289.78796,72633.691376,241
2025-10-19 07:30:00+00:00,49571.976112000004,86368.427426,267
2025-10-19 08:15:00+00:00,1669.201082000001,75271.766186,238
2025-10-19 09:00:00+00:00,112535.220662,182609.712396,294
2025-10-19 09:45:00+00:00,49902.01186,153895.052628,196
2025-10-19 10:30:00+00:00,304.91357800000014,11474.86052,51
2025-10-19 11:15:00+00:00,-22008.777324000002,62504.976842000004,70
2025-10-19 12:00:00+00:00,4862.312674,10773.112674,38
2025-10-19 12:45:00+00:00,71117.013962,121754.610362,108
2025-10-19 13:30:00+00:00,10025.094022,56334.381438000004,117
2025-10-19 14:15:00+00:00,11737.137674,13742.877674,51
2025-10-19 15:00:00+00:00,14834.001458,69535.17563,176
2025-10-19 15:45:00+00:00,-16.939341999999982,18590.081248,138
2025-10-19 16:30:00+00:00,-23767.4057,125246.852212,183
2025-10-19 17:15:00+00:00,11291.553562,13978.666009999999,172
2025-10-19 18:00:00+00:00,335.96981800000003,5592.398416,178
2025-10-19 18:45:00+00:00,584.4755360000001,98679.24549,551
2025-10-19 19:30:00+00:00,19015.67828,78094.27775,252
2025-10-19 20:15:00+00:00,13878.441178,52689.05959,257
2025-10-19 21:00:00+00:00,-8507.705022,53104.672852,215
2025-10-19 21:45:00+00:00,27039.822662,48350.533903999996,204
2025-10-19 22:30:00+00:00,22640.203279999998,89959.45552999999,323
2025-10-19 23:15:00+00:00,151857.755686,297443.95354,363
2025-10-20 00:00:00+00:00,12977.781486,59901.205574,366
2025-10-20 00:45:00+00:00,1799.9225600000004,97181.837382,286
2025-10-20 01:30:00+00:00,27394.781509999997,124265.667856,327
2025-10-20 02:15:00+00:00,22105.67895,151529.556438,290
2025-10-20 03:00:00+00:00,17683.688204,225520.780294,478
2025-10-20 03:45:00+00:00,115327.55418800001,891600.858308,518
2025-10-20 04:30:00+00:00,35974.026006,153184.727982,407
2025-10-20 05:15:00+00:00,17732.219591999998,127877.027522,396
2025-10-20 06:00:00+00:00,-474.1262480000014,437618.470886,594
2025-10-20 06:45:00+00:00,-37718.974294,453537.529096,525
2025-10-20 07:30:00+00:00,31632.01761,168720.117952,316
2025-10-20 08:15:00+00:00,83526.20787,304898.480876,395
2025-10-20 09:00:00+00:00,45646.018004000005,216086.002642,333
2025-10-20 09:45:00+00:00,72113.295606,239652.934566,228
2025-10-20 10:30:00+00:00,110250.40629200001,277158.647686,213
2025-10-20 11:15:00+00:00,19560.385653999998,160963.541068,168
2025-10-20 12:00:00+00:00,11993.219847999999,93404.915792,111
2025-10-20 12:45:00+00:00,24849.124286000002,167615.948236,248
2025-10-20 13:30:00+00:00,74233.912732,126362.45178999999,149
2025-10-20 14:15:00+00:00,-3758.6266739999955,70263.78278,75
2025-10-20 15:00:00+00:00,-43389.73647399999,287504.536564,126
2025-10-20 15:45:00+00:00,26797.062697999994,132544.90295,131
2025-10-20 16:30:00+00:00,4183.310916,23768.300806,51
2025-10-20 17:15:00+00:00,10763.604438,17212.686902,91
2025-10-20 18:00:00+00:00,7420.1771420000005,68324.115324,331
2025-10-20 18:45:00+00:00,9431.250744000003,93806.597604,314
2025-10-20 19:30:00+00:00,-994.2482800000007,107030.92375,225
2025-10-20 20:15:00+00:00,-30391.839836,121886.80483,339
2025-10-20 21:00:00+00:00,33691.121244,142781.240654,317
2025-10-20 21:45:00+00:00,-18621.434263999996,110637.61925999999,233
2025-10-20 22:30:00+00:00,6422.997885999999,111593.09841199999,336
2025-10-20 23:15:00+00:00,4283.083679999999,267733.179242,636
2025-10-21 00:00:00+00:00,23578.212206000007,516027.884894,742
2025-10-21 00:45:00+00:00,49346.496036000004,271699.603654,518
2025-10-21 01:30:00+00:00,114.35043199999963,275056.025988,563
2025-10-21 02:15:00+00:00,60114.063802,382097.71576,766
2025-10-21 03:00:00+00:00,54299.767874,255400.936916,284
2025-10-21 03:45:00+00:00,30498.594878,248693.018288,251
2025-10-21 04:30:00+00:00,214033.798304,458410.581624,359
2025-10-21 05:15:00+00:00,8096.120538000001,86220.12824399999,394
2025-10-21 06:00:00+00:00,39190.1917,167282.262954,236
2025-10-21 06:45:00+00:00,81064.503776,356678.97562,233
2025-10-21 07:30:00+00:00,57793.642483999996,290228.950982,165
2025-10-21 08:15:00+00:00,69546.2366,209838.84976800001,214
2025-10-21 09:00:00+00:00,7674.706640000002,127065.99459,218
2025-10-21 09:45:00+00:00,1955.341552,50790.503204,123
2025-10-21 10:30:00+00:00,-1509.5884979999992,94926.284412,91
2025-10-21 11:15:00+00:00,1197.8399999999997,36415.205602,70
2025-10-21 12:00:00+00:00,604.429865999999,56705.71578,114
2025-10-21 12:45:00+00:00,21937.238602,42122.406102,82
2025-10-21 13:30:00+00:00,10560.477348,18376.197348,72
2025-10-21 14:15:00+00:00,41936.578846,61837.730652,112
2025-10-21 15:00:00+00:00,43988.144522,175264.635278,175
2025-10-21 15:45:00+00:00,758.203968,5695.997172,54
2025-10-21 16:30:00+00:00,-556.1789780000001,11681.232834,40
2025-10-21 17:15:00+00:00,1283.2323959999972,39459.85284,73
2025-10-21 18:00:00+00:00,16341.111566000001,22273.352176,113
2025-10-21 18:45:00+00:00,14775.549498,72292.251082,238
2025-10-21 19:30:00+00:00,-7312.169069999999,268135.187524,598
2025-10-21 20:15:00+00:00,162302.812786,426641.37776400003,352
2025-10-21 21:00:00+00:00,-5905.38,49758.45486,121
2025-10-21 21:45:00+00:00,2209.1822119999997,11330.179808,101
2025-10-21 22:30:00+00:00,14897.601626000001,165815.043272,246
2025-10-21 23:15:00+00:00,-20121.751035999998,335993.233606,255
2025-10-22 00:00:00+00:00,30816.669748,305098.86215,419
2025-10-22 00:45:00+00:00,14958.403356,515939.012732,758
2025-10-22 01:30:00+00:00,33906.987464,578562.10905,945
2025-10-22 02:15:00+00:00,10814.167813999997,567655.302828,763
2025-10-22 03:00:00+00:00,50305.68294600001,483879.394448,502
2025-10-22 03:45:00+00:00,81611.178304,578822.775332,394
2025-10-22 04:30:00+00:00,65428.496972,326816.03605,352
2025-10-22 05:15:00+00:00,24666.15006999999,316263.531636,274
2025-10-22 06:00:00+00:00,36619.601956,123322.367682,403
2025-10-22 06:45:00+00:00,32543.044877999997,351177.278298,361
2025-10-22 07:30:00+00:00,34821.061866,230104.36781,268
2025-10-22 08:15:00+00:00,135985.043948,509554.81955,323
2025-10-22 09:00:00+00:00,38311.826268000004,284059.468648,273
2025-10-22 09:45:00+00:00,83.0775839999992,75931.358836,275
2025-10-22 10:30:00+00:00,1253.2759180000007,36361.69798,143
2025-10-22 11:15:00+00:00,835.0472860000013,73644.520734,83
2025-10-22 12:00:00+00:00,8095.951863999999,242764.880952,85
2025-10-22 12:45:00+00:00,-54.339045999999826,43822.197638,107
2025-10-22 13:30:00+00:00,36375.834372,42753.114372000004,55
2025-10-22 14:15:00+00:00,6220.748229999999,10208.194006,57
2025-10-22 15:00:00+00:00,-36362.323314,131291.312172,85
2025-10-22 15:45:00+00:00,-11096.250640000002,291059.954542,84
2025-10-22 16:30:00+00:00,10404.559966,69842.567816,58
2025-10-22 17:15:00+00:00,8737.380000000003,77736.673892,69
2025-10-22 18:00:00+00:00,4850.9076700000005,41635.436132,155
2025-10-22 18:45:00+00:00,7189.56,35948.075454,156
2025-10-22 19:30:00+00:00,48929.529848,113481.768414,234
2025-10-22 20:15:00+00:00,117640.025704,152272.854904,227
2025-10-22 21:00:00+00:00,11741.137141999998,115736.081512,188
2025-10-22 21:45:00+00:00,42564.313322,76485.112198,181
2025-10-22 22:30:00+00:00,236.6066639999998,53276.667874,168
2025-10-22 23:15:00+00:00,52067.677334,148186.337334,307
2025-10-23 00:00:00+00:00,881.31511,81116.824868,322
2025-10-23 00:45:00+00:00,10446.50919,190016.971444,411
2025-10-23 01:30:00+00:00,54574.23332000001,419285.098742,707
2025-10-23 02:15:00+00:00,79369.049988,496155.631404,624
2025-10-23 03:00:00+00:00,-362.8864179999944,396198.732624,510
2025-10-23 03:45:00+00:00,22584.379969999995,271261.571024,373
2025-10-23 04:30:00+00:00,148221.959394,467216.338022,656
2025-10-23 05:15:00+00:00,12810.103363999999,453471.916424,708
2025-10-23 06:00:00+00:00,10581.424187999999,144922.113778,326
2025-10-23 06:45:00+00:00,11433.8629,38585.909952,183
2025-10-23 07:30:00+00:00,59860.741786,241910.977532,302
2025-10-23 08:15:00+00:00,13773.765193999998,100393.201048,260
2025-10-23 09:00:00+00:00,47941.681318,146966.235688,285
2025-10-23 09:45:00+00:00,5742.222792,13878.312882,108
2025-10-23 10:30:00+00:00,12724.996890000002,40009.684898,66
2025-10-23 11:15:00+00:00,3438.1114519999996,15547.89704,74
2025-10-23 12:00:00+00:00,46095.331227999995,60474.261702,96
2025-10-23 12:45:00+00:00,18974.633471999998,30033.070724,84
2025-10-23 13:30:00+00:00,199.88986999999997,5620.79724,30
2025-10-23 14:15:00+00:00,4072.867554,28581.191396000002,71
2025-10-23 15:00:00+00:00,4632.163088,11057.229172,62
2025-10-23 15:45:00+00:00,-4278.505948,7795.690704,32
2025-10-23 16:30:00+00:00,11767.707294,18091.577404,55
2025-10-23 17:15:00+00:00,35136.538598,61868.584127999995,91
2025-10-23 18:00:00+00:00,15240.9661,45981.101512,183
2025-10-23 18:45:00+00:00,-2411.686192,97593.669678,332
2025-10-23 19:30:00+00:00,13547.240236,131115.975724,468
2025-10-23 20:15:00+00:00,111057.385394,203949.168778,307
