timestamp,timestamp_sec,side,direction,price,shares_normalized,token_id,transaction_hash,market
2025-10-17 11:50:04+00:00,1760701804,SELL,-1,0.8939999974937177,395.805368,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:04+00:00,1760701804,BUY,1,0.894000000020212,395.805368,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:14+00:00,1760701814,BUY,1,0.894,20000.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:14+00:00,1760701814,SELL,-1,0.894,168.61,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:14+00:00,1760701814,SELL,-1,0.894,19274.48,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:14+00:00,1760701814,SELL,-1,0.894,52.87,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:18+00:00,1760701818,BUY,1,0.893999999993002,2857.94183,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:50:54+00:00,1760701854,SELL,-1,0.893,100.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:51:00+00:00,1760701860,SELL,-1,0.893,18.12,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:51:48+00:00,1760701908,BUY,1,0.8939999998738772,333.008943,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:52:58+00:00,1760701978,BUY,1,0.8939999985718939,355.715882,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:52:58+00:00,1760701978,SELL,-1,0.8939999980480748,260.255882,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:54:56+00:00,1760702096,SELL,-1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:54:56+00:00,1760702096,BUY,1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:55:54+00:00,1760702154,SELL,-1,0.893,13.44,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:55:58+00:00,1760702158,SELL,-1,0.893,111.86,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:56:16+00:00,1760702176,SELL,-1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:56:16+00:00,1760702176,BUY,1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:56:26+00:00,1760702186,SELL,-1,0.893,111.86,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:56:42+00:00,1760702202,BUY,1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:56:42+00:00,1760702202,SELL,-1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:56:54+00:00,1760702214,SELL,-1,0.893,111.85,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:57:10+00:00,1760702230,SELL,-1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:57:10+00:00,1760702230,BUY,1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 11:57:40+00:00,1760702260,SELL,-1,0.893,111.86,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:00:48+00:00,1760702448,SELL,-1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:00:48+00:00,1760702448,BUY,1,0.8939999922400799,111.856822,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:01:04+00:00,1760702464,SELL,-1,0.894,1000.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:01:04+00:00,1760702464,BUY,1,0.894,1000.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:01:10+00:00,1760702470,SELL,-1,0.893,111.86,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:01:12+00:00,1760702472,SELL,-1,0.893,1000.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:01:40+00:00,1760702500,BUY,1,0.8939991971871153,1.118567,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:01:40+00:00,1760702500,SELL,-1,0.8939991971871153,1.118567,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:03:22+00:00,1760702602,SELL,-1,0.893999999561128,1016.241609,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:03:22+00:00,1760702602,BUY,1,0.893999999561128,1016.241609,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:04:08+00:00,1760702648,SELL,-1,0.893,1016.24,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:04:28+00:00,1760702668,SELL,-1,0.893,452.89,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:06:18+00:00,1760702778,BUY,1,0.894,220.0,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:06:22+00:00,1760702782,BUY,1,0.8939999964239929,1.118566,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:06:50+00:00,1760702810,BUY,1,0.8939999992848,111.85682,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:08:12+00:00,1760702892,BUY,1,0.8939999976755993,11.185679,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:08:40+00:00,1760702920,BUY,1,0.8939999999597319,1043.008943,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:09:38+00:00,1760702978,BUY,1,0.8939999992017856,52.617443,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:09:48+00:00,1760702988,SELL,-1,0.893,1043.02,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:11:12+00:00,1760703072,BUY,1,0.8939999999822803,1015.816547,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:11:52+00:00,1760703112,SELL,-1,0.893,1015.81,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:12:44+00:00,1760703164,SELL,-1,0.893,34.34,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
2025-10-17 12:13:56+00:00,1760703236,BUY,1,0.8939999933014361,7.762858,33945469250963963541781051637999677727672635213493648594066577298999471399137,,
