time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
5,Abs (100k),Phase 2 (Middle),0.12617398892493067,3.078258096221855e-06,2.6078582339192133e-54,1788
5,Abs (100k),Phase 3 (Near Expiry),0.255942600991896,2.8108761469799224e-06,6.124616643876631e-117,1790
5,MAD (3),Phase 1 (Early),0.05600389051018606,3.851043226230759e-06,2.9285256439224155e-21,1557
5,MAD (3),Phase 2 (Middle),0.11233445764015593,5.6451646434425e-06,3.4869873529616663e-42,1557
5,MAD (3),Phase 3 (Near Expiry),0.1452827723329074,4.296774088843251e-06,4.797398023010207e-55,1558
5,Pctl (5%-95%),Phase 1 (Early),0.0496857584149146,3.0989094754701853e-06,8.898169716888294e-20,1628
5,Pctl (5%-95%),Phase 2 (Middle),0.10738873921068198,4.920259926721453e-06,4.646689981958687e-42,1628
5,Pctl (5%-95%),Phase 3 (Near Expiry),0.14899193716034367,3.801380828711353e-06,4.720275355624829e-59,1630
10,Raw,Phase 1 (Early),0.10851002872045469,2.4930326005193606e-06,1.3433831216038365e-24,915
10,Raw,Phase 2 (Middle),0.24393828525449862,2.859974078459926e-06,1.9403055321594422e-57,915
10,Raw,Phase 3 (Near Expiry),0.17717766723136022,9.750427065900632e-07,1.114965319501586e-40,917
10,IQR (1.5x),Phase 1 (Early),0.06277534672886581,3.3775302208584575e-06,9.280161108859306e-13,789
10,IQR (1.5x),Phase 2 (Middle),0.14860867898203536,5.052312727494688e-06,2.3471554603548293e-29,789
10,IQR (1.5x),Phase 3 (Near Expiry),0.18690305771698054,3.8060319761462775e-06,2.861870638534685e-37,789
10,Pctl (1%-99%),Phase 1 (Early),0.0823622002878269,2.5787754018013933e-06,1.812220785367419e-18,897
10,Pctl (1%-99%),Phase 2 (Middle),0.17714269848365338,3.318030096579016e-06,8.07701353265721e-40,897
10,Pctl (1%-99%),Phase 3 (Near Expiry),0.3350449883872689,3.208571204275639e-06,2.301112988900544e-81,897
10,Z-Score (3),Phase 1 (Early),0.10652998602069139,2.4892991143295335e-06,5.881989730312226e-24,907
10,Z-Score (3),Phase 2 (Middle),0.1605714958795762,2.8107614988360754e-06,2.635258338780314e-36,907
10,Z-Score (3),Phase 3 (Near Expiry),0.34714055134527694,2.9118298591851837e-06,5.82679675584967e-86,908
10,Winsorized,Phase 1 (Early),0.1072802286159304,2.579203068212433e-06,2.5347175290111213e-24,915
10,Winsorized,Phase 2 (Middle),0.18925341174414506,3.2316593181737213e-06,1.5385638686816653e-43,915
10,Winsorized,Phase 3 (Near Expiry),0.36910612811495,3.0603779868853916e-06,1.3084007887273246e-93,917
10,Abs (200k),Phase 1 (Early),0.10901905218032294,2.504365272406267e-06,1.3036788861738538e-24,911
10,Abs (200k),Phase 2 (Middle),0.1400321950003029,2.3982242696393684e-06,1.1713894146193832e-31,911
10,Abs (200k),Phase 3 (Near Expiry),0.34881001996143257,2.779867107400943e-06,9.561204906478266e-87,911
10,Abs (100k),Phase 1 (Early),0.0833179475191293,2.667655702927916e-06,1.5386680461801999e-18,890
10,Abs (100k),Phase 2 (Middle),0.17062286655519446,3.530115061538932e-06,5.434575927758475e-38,890
