time_window,outlier_method,phase,beta,r_squared,p_value,avg_depth_l1,avg_depth_l2,n_obs
5,Z-Score (3),Phase 2 (Middle),2.798544257487187e-06,0.11807805355917865,6.96226666861045e-51,21887.292048165473,5200895.32255137,1794
5,Z-Score (3),Phase 3 (Near Expiry),2.854542870753659e-06,0.2686303851242014,6.708890322436174e-124,19961.722607050055,5712795.354922889,1794
5,Winsorized,Phase 1 (Early),2.4399925294582108e-06,0.07395428329337747,4.6941732339446845e-32,17624.697495224336,5807471.408578317,1810
5,Winsorized,Phase 2 (Middle),3.2661003785031764e-06,0.1572102966712162,3.3414824789068673e-69,22736.616679221963,5192758.477930989,1810
5,Winsorized,Phase 3 (Near Expiry),3.0340230484547354e-06,0.28197805928077035,3.1337105450899635e-132,20427.95452716764,5721521.18060508,1810
5,Abs (200k),Phase 1 (Early),2.171838836030788e-06,0.07504378322329967,1.9568063272298528e-32,17639.806234969947,5813017.569636589,1805
5,Abs (200k),Phase 2 (Middle),2.2916017136291523e-06,0.10942302929993765,2.405540327357058e-47,22400.149263543684,5194576.0848721545,1805
5,Abs (200k),Phase 3 (Near Expiry),2.544463536314914e-06,0.2748653627598228,3.8131293258980457e-128,20301.152810574247,5720700.91509562,1807
5,Abs (100k),Phase 1 (Early),2.377426823567596e-06,0.06468568290769472,8.55483335778421e-28,17458.62211361858,5830980.561196203,1788
5,Abs (100k),Phase 2 (Middle),3.078258096221855e-06,0.12617398892493067,2.6078582339192133e-54,21196.749032994943,5201289.907892872,1788
5,Abs (100k),Phase 3 (Near Expiry),2.8108761469799224e-06,0.255942600991896,6.124616643876631e-117,20253.89638945465,5707431.1256293515,1790
5,MAD (3),Phase 1 (Early),3.851043226230759e-06,0.05600389051018606,2.9285256439224155e-21,16999.20200993265,5988263.673102684,1557
5,MAD (3),Phase 2 (Middle),5.6451646434425e-06,0.11233445764015593,3.4869873529616663e-42,20428.359643915475,5241470.962725555,1557
5,MAD (3),Phase 3 (Near Expiry),4.296774088843251e-06,0.1452827723329074,4.797398023010207e-55,19136.616411749703,5565926.584653064,1558
5,Pctl (5%-95%),Phase 1 (Early),3.0989094754701853e-06,0.0496857584149146,8.898169716888294e-20,17050.43525052219,5942815.808177776,1628
5,Pctl (5%-95%),Phase 2 (Middle),4.920259926721453e-06,0.10738873921068198,4.646689981958687e-42,20473.91446363766,5222122.182961994,1628
5,Pctl (5%-95%),Phase 3 (Near Expiry),3.801380828711353e-06,0.14899193716034367,4.720275355624829e-59,19863.631375420286,5594690.295304987,1630
10,Raw,Phase 1 (Early),2.4930326005193606e-06,0.10851002872045469,1.3433831216038365e-24,17451.97698674667,5842162.2770499885,915
10,Raw,Phase 2 (Middle),2.859974078459926e-06,0.24393828525449862,1.9403055321594422e-57,20714.81470182348,5162245.774705032,915
10,Raw,Phase 3 (Near Expiry),9.750427065900632e-07,0.17717766723136022,1.114965319501586e-40,22343.314757232187,5708911.497966016,917
10,IQR (1.5x),Phase 1 (Early),3.3775302208584575e-06,0.06277534672886581,9.280161108859306e-13,17246.475943336547,6052589.850117651,789
10,IQR (1.5x),Phase 2 (Middle),5.052312727494688e-06,0.14860867898203536,2.3471554603548293e-29,20386.533487622062,4096188.231710572,789
10,IQR (1.5x),Phase 3 (Near Expiry),3.8060319761462775e-06,0.18690305771698054,2.861870638534685e-37,18030.280778796237,6604415.276170142,789
10,Pctl (1%-99%),Phase 1 (Early),2.5787754018013933e-06,0.0823622002878269,1.812220785367419e-18,17328.220090697447,5881375.701475844,897
10,Pctl (1%-99%),Phase 2 (Middle),3.318030096579016e-06,0.17714269848365338,8.07701353265721e-40,20420.15677888619,5178019.350539286,897
10,Pctl (1%-99%),Phase 3 (Near Expiry),3.208571204275639e-06,0.3350449883872689,2.301112988900544e-81,20149.186271789396,5677726.566133512,897
10,Z-Score (3),Phase 1 (Early),2.4892991143295335e-06,0.10652998602069139,5.881989730312226e-24,17484.237707693774,5860868.179248934,907
10,Z-Score (3),Phase 2 (Middle),2.8107614988360754e-06,0.1605714958795762,2.635258338780314e-36,20464.474994377913,5168187.418181134,907
10,Z-Score (3),Phase 3 (Near Expiry),2.9118298591851837e-06,0.34714055134527694,5.82679675584967e-86,21088.59139340727,5699934.316067511,908
10,Winsorized,Phase 1 (Early),2.579203068212433e-06,0.1072802286159304,2.5347175290111213e-24,17451.97698674667,5842162.2770499885,915
10,Winsorized,Phase 2 (Middle),3.2316593181737213e-06,0.18925341174414506,1.5385638686816653e-43,20714.81470182348,5162245.774705032,915
10,Winsorized,Phase 3 (Near Expiry),3.0603779868853916e-06,0.36910612811495,1.3084007887273246e-93,22343.314757232187,5708911.497966016,917
10,Abs (200k),Phase 1 (Early),2.504365272406267e-06,0.10901905218032294,1.3036788861738538e-24,17443.552966937434,5851439.089735207,911
10,Abs (200k),Phase 2 (Middle),2.3982242696393684e-06,0.1400321950003029,1.1713894146193832e-31,20649.45551409645,5165644.3160134535,911
10,Abs (200k),Phase 3 (Near Expiry),2.779867107400943e-06,0.34881001996143257,9.561204906478266e-87,21783.37748539259,5706641.599861097,911
10,Abs (100k),Phase 1 (Early),2.667655702927916e-06,0.0833179475191293,1.5386680461801999e-18,17241.902803904108,5894943.149509235,890
10,Abs (100k),Phase 2 (Middle),3.530115061538932e-06,0.17062286655519446,5.434575927758475e-38,20410.63809961459,5183779.861016563,890
10,Abs (100k),Phase 3 (Near Expiry),2.9028037047839394e-06,0.2923725552830877,8.53890113328078e-69,20137.931858523683,5667835.0020209355,891
10,MAD (3),Phase 1 (Early),3.384785134658201e-06,0.06892077618087486,3.7273518593450826e-14,17174.1750346267,6030793.675141054,805
10,MAD (3),Phase 2 (Middle),4.906039017675591e-06,0.15514795143526752,2.841972013803089e-31,20229.12052403371,4845849.730680369,805
10,MAD (3),Phase 3 (Near Expiry),3.6546980157893056e-06,0.19457176227920664,1.0598119563827903e-39,18661.377659140166,5860457.543527276,806
10,Pctl (5%-95%),Phase 1 (Early),3.2276463229104866e-06,0.07199714275337256,4.879970031121284e-15,17216.561325284645,6003577.950163518,823
10,Pctl (5%-95%),Phase 2 (Middle),4.6421132800096366e-06,0.1674024442386041,1.4749955424901901e-34,20412.749033665365,5068278.877371262,823
10,Pctl (5%-95%),Phase 3 (Near Expiry),3.4761660450315e-06,0.20057787706547583,6.071335288812876e-42,18933.02193748073,5680900.590510786,825
15,Raw,Phase 1 (Early),2.024769570804822e-06,0.07146902380715686,1.8518542529739033e-11,17314.41375583134,5849233.817885343,611
15,Raw,Phase 2 (Middle),2.9156768237436286e-06,0.3241326994441213,8.819195904948473e-54,20774.130162877173,5169234.340601865,611
15,Raw,Phase 3 (Near Expiry),1.0688805954605181e-06,0.21408481973251228,7.55361995194279e-34,22189.90140589012,5704761.835017693,613
15,IQR (1.5x),Phase 1 (Early),3.346281519364183e-06,0.07606263957309876,1.0471729485420334e-10,16885.284795312546,6068139.598322908,530
15,IQR (1.5x),Phase 2 (Middle),3.4841805504464207e-06,0.11791863705730976,4.1018611871917795e-16,20567.61750821043,4074047.4094330356,530
15,IQR (1.5x),Phase 3 (Near Expiry),3.969644650112853e-06,0.21385800892349366,1.7060856345739758e-29,18497.761185233416,6677261.28565276,531
15,Pctl (1%-99%),Phase 1 (Early),2.0002944339026074e-06,0.06809585498840987,8.812811220167336e-11,17192.157120098454,5891085.208273533,599
15,Pctl (1%-99%),Phase 2 (Middle),3.124029440030686e-06,0.21113426765037466,1.2712947278127156e-32,20443.807009439442,5182844.891311693,599
15,Pctl (1%-99%),Phase 3 (Near Expiry),2.808817686826439e-06,0.3114951590805577,2.4026816873719815e-50,19607.72367634595,5676832.532812615,599
15,Z-Score (3),Phase 1 (Early),1.9996562840228203e-06,0.0684557730401635,6.07754834792651e-11,17312.46708303371,5866664.2884704145,606
15,Z-Score (3),Phase 2 (Middle),2.425991714713317e-06,0.18054598271595437,5.810045196843599e-28,20685.517429514508,5176154.579826227,606
15,Z-Score (3),Phase 3 (Near Expiry),2.7450814546839097e-06,0.36271221392105024,4.3607406401792166e-61,20270.078070489457,5698061.612819893,606
15,Winsorized,Phase 1 (Early),2.024769570804822e-06,0.07146902380715686,1.8518542529739033e-11,17314.41375583134,5849233.817885343,611
15,Winsorized,Phase 2 (Middle),3.057511288254123e-06,0.2284072985107644,3.4467436041764694e-36,20774.130162877173,5169234.340601865,611
15,Winsorized,Phase 3 (Near Expiry),3.0360961020741985e-06,0.3958264044409302,7.142110329004951e-69,22189.90140589012,5704761.835017693,613
15,Abs (200k),Phase 1 (Early),1.9947654036723166e-06,0.06798418643294152,7.365079707508654e-11,17301.37773742472,5870145.94362961,605
15,Abs (200k),Phase 2 (Middle),2.437368348505494e-06,0.18092446182086705,5.582568333590999e-28,20711.83300506159,5176145.020016393,605
15,Abs (200k),Phase 3 (Near Expiry),2.7451888589804644e-06,0.3572379445975021,4.659303471499596e-60,20258.7467379463,5695638.459119663,607
15,Abs (100k),Phase 1 (Early),2.5096128630078124e-06,0.0800816812673026,3.2389368986240228e-12,17153.358381656504,5932181.483849216,584
15,Abs (100k),Phase 2 (Middle),3.347832227678326e-06,0.18539572989779612,9.279364764545684e-28,20011.502710243018,5200317.228960585,584
15,Abs (100k),Phase 3 (Near Expiry),2.8892052096742107e-06,0.2506096793576531,2.2784951611455013e-38,19345.6293721108,5632083.377927546,584
15,MAD (3),Phase 1 (Early),3.164600264645144e-06,0.0782441136273461,3.650025057177499e-11,17076.224635989314,6055841.9499712465,540
15,MAD (3),Phase 2 (Middle),3.5543731300038103e-06,0.13620262834757585,7.229200007477234e-19,20459.344647636884,4347202.767682237,540
15,MAD (3),Phase 3 (Near Expiry),3.882068170397394e-06,0.2305829564599519,1.4876391270489977e-32,18485.20001445783,6386826.2176906215,541
15,Pctl (5%-95%),Phase 1 (Early),3.010874182923753e-06,0.07545749946420621,5.601139889711964e-11,17119.66142683858,6018206.163677837,550
15,Pctl (5%-95%),Phase 2 (Middle),3.76542765291741e-06,0.15894305855327168,2.1370152818611013e-22,20208.094932686246,5162130.849348666,550
15,Pctl (5%-95%),Phase 3 (Near Expiry),3.529286185925525e-06,0.2265451689663369,1.6870329391902509e-32,18824.60679843568,5578541.950868658,551
20,Raw,Phase 1 (Early),2.406232209216948e-06,0.09899428580726666,5.5469514010023045e-12,17242.790645210887,5845915.759937136,458
20,Raw,Phase 2 (Middle),2.7956894527723077e-06,0.3128243618679592,4.7201800088312816e-39,20725.26624799902,5157159.1992527405,458
20,Raw,Phase 3 (Near Expiry),9.881335430411e-07,0.19696068549748114,1.2736247918473784e-23,22533.976319214606,5703956.264013219,460
20,IQR (1.5x),Phase 1 (Early),3.2416048086260337e-06,0.08158635081341631,7.483209867539908e-09,16750.53865738882,6100200.669000386,395
20,IQR (1.5x),Phase 2 (Middle),3.955823751377945e-06,0.16508256631006377,3.9190114281404143e-17,20571.17040662849,3913339.595162469,395
20,IQR (1.5x),Phase 3 (Near Expiry),3.549959042006068e-06,0.2217523161410433,3.002123484848363e-23,18496.604689289645,6776646.261900956,396
20,Pctl (1%-99%),Phase 1 (Early),2.37624193664753e-06,0.09354924217487119,3.536226999105435e-11,17134.17699460818,5887799.700183129,449
20,Pctl (1%-99%),Phase 2 (Middle),2.560738713861614e-06,0.19895071326651775,2.461495939598381e-23,20426.410820931073,5168992.350197997,449
20,Pctl (1%-99%),Phase 3 (Near Expiry),2.8228951151149846e-06,0.34979822181577447,8.417057562548585e-44,20711.89555296259,5676096.997879535,450
20,Z-Score (3),Phase 1 (Early),2.3664523651439334e-06,0.09324074594349313,3.1288318924890154e-11,17242.712752647418,5869196.204833573,453
20,Z-Score (3),Phase 2 (Middle),2.138471705273654e-06,0.17940679453960157,3.795393332686869e-21,20740.42828130495,5162572.813177701,453
20,Z-Score (3),Phase 3 (Near Expiry),3.0246425387762677e-06,0.4202714333226045,1.3519925682992231e-55,20801.41105155099,5692080.631366539,455
20,Winsorized,Phase 1 (Early),2.406232209216948e-06,0.09899428580726666,5.5469514010023045e-12,17242.790645210887,5845915.759937136,458
20,Winsorized,Phase 2 (Middle),2.8508127667399305e-06,0.2343737668592996,2.754559858263565e-28,20725.26624799902,5157159.1992527405,458
20,Winsorized,Phase 3 (Near Expiry),2.9643087206004282e-06,0.41920651665602826,5.2448750088166125e-56,22533.976319214606,5703956.264013219,460
20,Abs (200k),Phase 1 (Early),2.373795571439574e-06,0.09355811150515098,3.1913910952391935e-11,17192.344059647898,5878425.752208006,451
20,Abs (200k),Phase 2 (Middle),2.456687418256256e-06,0.19949815361439896,1.685266373441548e-23,20444.19394209905,5166549.299172334,451
20,Abs (200k),Phase 3 (Near Expiry),2.7898726728713713e-06,0.3754773819903929,4.8067503742582457e-48,20836.904775243638,5689510.736255648,453
20,Abs (100k),Phase 1 (Early),2.9278788218772594e-06,0.09781037106287739,3.455269240841141e-11,17096.26587474632,5969312.895525894,429
20,Abs (100k),Phase 2 (Middle),3.100086274164806e-06,0.17948751006967031,4.0938598593854024e-20,19651.800262765893,5204809.494649727,429
20,Abs (100k),Phase 3 (Near Expiry),3.3666882922252953e-06,0.3202185856198412,1.1027270243303982e-37,19610.261533260666,5603545.223854643,429
20,MAD (3),Phase 1 (Early),3.2189363702905202e-06,0.08631581601323644,1.8235918571068789e-09,16985.708370719236,6073974.046123076,403
20,MAD (3),Phase 2 (Middle),3.820366714837904e-06,0.17362861514976052,2.338523082235672e-18,20234.43979474781,4412749.5737270145,403
20,MAD (3),Phase 3 (Near Expiry),3.6767699164370337e-06,0.257267094137786,8.48555648733307e-28,18469.582010541482,6265940.600504655,404
20,Pctl (5%-95%),Phase 1 (Early),3.134905180346179e-06,0.09423269024725722,1.9363855064942756e-10,17172.331851635376,6049698.2598389285,412
20,Pctl (5%-95%),Phase 2 (Middle),3.3912344172019048e-06,0.16104102171286386,2.2559797532020653e-17,19833.094578856755,5017280.881862837,412
20,Pctl (5%-95%),Phase 3 (Near Expiry),3.368277874891375e-06,0.26082372656155967,7.002000856059373e-29,18816.13780164395,5663398.536010324,414
30,Raw,Phase 1 (Early),2.442651560252729e-06,0.10157239820884685,1.1869373191900444e-08,17256.004186581682,5858694.419747434,306
30,Raw,Phase 2 (Middle),2.7568305880158167e-06,0.3199198226252969,2.843128657473809e-27,20735.13599987972,5165010.539830568,306
30,Raw,Phase 3 (Near Expiry),8.347613654577821e-07,0.13752360146575549,1.780021394291116e-11,22034.028522357814,5696868.798180374,308
30,IQR (1.5x),Phase 1 (Early),2.883835028042907e-06,0.08032797882095039,3.0038047701439855e-06,16535.80622809221,6145475.11679141,263
30,IQR (1.5x),Phase 2 (Middle),3.4221496079245977e-06,0.13073347770578836,1.5279413605105361e-09,20975.723845730303,3654143.2890031934,263
30,IQR (1.5x),Phase 3 (Near Expiry),3.765247652587957e-06,0.22345716102139215,3.699847800124929e-16,16608.92612227629,7018459.579686448,265
30,Pctl (1%-99%),Phase 1 (Early),2.482248858481769e-06,0.1011337554014585,1.7805344406611023e-08,17090.054563609257,5900490.533070749,300
30,Pctl (1%-99%),Phase 2 (Middle),2.7528127967950924e-06,0.21110569018724193,4.495420544275468e-17,20738.650716931417,5173159.827399458,300
30,Pctl (1%-99%),Phase 3 (Near Expiry),2.4079231757676636e-06,0.2805106622702787,4.3001681139453526e-23,18912.086095411723,5676454.414766953,300
