mid_price_method,time_window,outlier_method,r_squared,beta,p_value,n_windows,std_err
last_trade,90,Raw,0.015215197450847984,2.986908797530862e-07,0.026640413156738655,323,1.341224007029198e-07
last_trade,90,IQR (1.5x),1.852989673885066e-09,-3.257530767447431e-10,0.999425793932417,282,4.5224420511142346e-07
last_trade,90,Pctl (1%-99%),0.040803226040971356,-8.37944969505133e-07,0.0003084224248912834,315,2.2964126650777788e-07
last_trade,90,Z-Score (3),0.03734473682051051,-8.722024962316942e-07,0.0005297329457566584,318,2.4911190174501963e-07
last_trade,90,Winsorized,0.00013271585992127418,-4.005993330236804e-08,0.8365970608975757,323,1.9407405144685082e-07
last_trade,90,Abs (200k),8.469767764969923e-05,-6.538985493396398e-08,0.8770678826828014,285,4.2234077474340123e-07
last_trade,90,Abs (100k),0.03207687321986658,1.8354044001780473e-06,0.00426590735863534,253,6.363841102750874e-07
last_trade,90,MAD (3),0.002277035234688645,3.6638099187853296e-07,0.42640357658022854,280,4.599712049834501e-07
last_trade,90,Pctl (5%-95%),0.02610186582270703,-1.0090353803154643e-06,0.005909955535104964,289,3.638198885658923e-07
last_trade,120,Raw,0.021312873351071144,3.1650121436733846e-07,0.023117631896001477,242,1.3844290242501033e-07
last_trade,120,IQR (1.5x),0.002834647539134324,-3.4402938262040057e-07,0.43307056290362733,219,4.380258348641627e-07
last_trade,120,Pctl (1%-99%),0.02826536441253834,-5.864172375058688e-07,0.009667916073214036,236,2.2477362302174763e-07
last_trade,120,Z-Score (3),0.0001641192592575242,5.209516400016462e-08,0.8444640533157163,237,2.6524552366207434e-07
last_trade,120,Winsorized,0.004144896046917688,1.7488259592760098e-07,0.3185796934500694,242,1.749775074242346e-07
last_trade,120,Abs (200k),0.0027012541439509325,4.116575194147834e-07,0.4614661105491653,203,5.579148708512906e-07
last_trade,120,Abs (100k),0.005520057717918746,8.109647534287639e-07,0.3355976978960522,170,8.397954996262612e-07
last_trade,120,MAD (3),0.0008523081423704226,-2.2731829757974256e-07,0.6740250262705038,210,5.396587877009006e-07
last_trade,120,Pctl (5%-95%),0.019687925748834746,-7.572822446011786e-07,0.03935843505611724,216,3.6528604583215726e-07
