time_window,outlier_method,r_squared,beta,p_value,n_windows,std_err
30,Pctl (1%-99%),0.20908135790513743,2.5428316190623917e-06,1.057792033806366e-47,900,1.6503941849231493e-07
30,Z-Score (3),0.25152377648701346,2.6481520891790315e-06,7.08747081112131e-59,906,1.519351260943045e-07
30,Winsorized,0.2700124926339252,2.6132950955392243e-06,9.230450832070494e-65,920,1.4181850331086628e-07
30,Abs (200k),0.2226807327439929,2.77568426098878e-06,8.007932263926763e-51,895,1.7354125300648655e-07
30,Abs (100k),0.18340831736380908,3.3539560704027643e-06,1.1723154282740418e-38,837,2.449103252278293e-07
30,MAD (3),0.15584170306239753,3.3359654349328243e-06,1.3309253227914866e-31,810,2.731404154297523e-07
30,Pctl (5%-95%),0.1644249878367161,3.1845878895786823e-06,4.099181780738275e-34,828,2.4978826320646117e-07
45,Raw,0.17277458616879926,1.1743025811981734e-06,4.3420069103599216e-27,615,1.037819392666058e-07
45,IQR (1.5x),0.17727517811745905,3.3589739512603394e-06,2.3360591176681205e-24,534,3.13728631236345e-07
45,Pctl (1%-99%),0.2926260915553615,2.7445222998886268e-06,5.598165503572312e-47,601,1.7434975752188994e-07
45,Z-Score (3),0.31103688820748504,2.6292716152797996e-06,6.564280470738334e-51,607,1.5909253474581353e-07
45,Winsorized,0.3363520358578597,2.7386298629062287e-06,1.4695309210572234e-56,615,1.5537278670781095e-07
45,Abs (200k),0.29003945195106967,3.2839353527329714e-06,2.634306578096502e-45,585,2.1278886189738065e-07
45,Abs (100k),0.17446733256650906,3.405968660491781e-06,9.45471423233959e-24,529,3.227345130714572e-07
45,MAD (3),0.19120628948465346,3.3107609928199644e-06,9.145032741819346e-27,543,2.9275006015614807e-07
45,Pctl (5%-95%),0.22047988005103233,3.5325378901093842e-06,1.1354764700854722e-31,553,2.8296988086314715e-07
60,Raw,0.14565727073182114,1.155890941352436e-06,2.128086779843684e-17,460,1.3080793841889776e-07
60,IQR (1.5x),0.21429593824994955,3.1069345102528905e-06,5.2306575652210554e-23,407,2.9561544223127327e-07
60,Pctl (1%-99%),0.3022268134401378,2.6390056473991248e-06,6.6940621514276965e-37,450,1.8944884195033698e-07
60,Z-Score (3),0.2869109254107428,2.3221541576390707e-06,3.7975507802968395e-35,455,1.7200469220628792e-07
60,Winsorized,0.28708892457232216,2.368389622343293e-06,1.5312499420861808e-35,460,1.7439333064046594e-07
60,Abs (200k),0.267254379262248,3.11768305151671e-06,9.32753933408872e-31,430,2.495308684836341e-07
60,Abs (100k),0.1657571784834911,3.163878803675046e-06,2.519437694939918e-16,373,3.6850463143498214e-07
60,MAD (3),0.24759596929461677,3.272474890890255e-06,2.4035938129984367e-27,415,2.807081801743719e-07
60,Pctl (5%-95%),0.232944441677905,3.0905526175581143e-06,1.5189323465622921e-25,414,2.762961087689261e-07
90,Raw,0.16882591790100385,1.0011310998795947e-06,5.132787828741962e-14,309,1.2677925678940064e-07
90,IQR (1.5x),0.28542265732831806,3.4900920087169665e-06,1.7817609292364776e-21,272,3.360743695218024e-07
90,Pctl (1%-99%),0.32034257155847357,2.5561267500716745e-06,6.843680627738168e-27,301,2.153200620602406e-07
90,Z-Score (3),0.35316804183309364,2.470435576532288e-06,1.0680432424024726e-30,307,1.914382206865109e-07
90,Winsorized,0.33433479056931453,2.3655149475186397e-06,5.793565206714807e-29,309,1.9049941792898563e-07
90,Abs (200k),0.32261024556286,3.6672291048423674e-06,6.844451293898553e-25,275,3.216154867429543e-07
90,Abs (100k),0.2060710380311142,4.084247786533046e-06,1.1014629905094969e-12,222,5.404843024687076e-07
90,MAD (3),0.2972199295034305,3.344945794934925e-06,5.304628734373818e-23,279,3.090437429343857e-07
90,Pctl (5%-95%),0.3091145905461371,3.5045127954211223e-06,7.107392645257518e-24,277,3.1593996176397933e-07
